V1_gene	Module	Mapped_v3	MapMan_v3	Mapped_v5	MapMan_v5	GO_v5
VIT_05s0049g00510	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_14s0081g00030	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_08s0058g01210	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_16s0050g00080	M1	TRUE	TRUE	TRUE	FALSE	TRUE
VIT_03s0038g04700	M2	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_13s0067g02930	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_18s0001g05040	M1	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_03s0038g03430	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_06s0004g05680	M1	FALSE	FALSE	TRUE	TRUE	FALSE
VIT_05s0020g03180	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_09s0002g05150	M1	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_07s0031g00920	M1	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_03s0038g00450	M1	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_01s0011g03680	M1	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_03s0017g01210	M1	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_07s0129g00490	M4	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_01s0146g00260	M1	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_18s0001g06070	M1	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_15s0046g03780	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_18s0122g00850	M4	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_03s0038g03860	M5	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_04s0008g06570	M1	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_01s0011g00830	M1	FALSE	FALSE	FALSE	FALSE	FALSE
