SampleName	GSM	Cultivar	Stage	Year	Replicate	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
"GSM2627836"	"GSM2627836"	"Pinot noir"	"Veraison"	"2012"	2	-12.1430999407554	23.7882504717502	29.0705226155386	5.95383752660833	-17.6814238077793	2.44234005101685	5.91482854923553	2.91081647562538	-1.24682089906017	3.87154786613237
"GSM2627837"	"GSM2627837"	"Pinot noir"	"Veraison"	"2012"	3	1.98305073949282	27.1515479813915	27.4363738981933	14.8143409474062	-7.54604483631646	2.31905236188042	11.1875231884823	-1.15316143173823	-2.67457708449227	2.05656360763151
"GSM2627850"	"GSM2627850"	"Pinot noir"	"Harvest"	"2012"	1	59.8477513181482	31.576531260963	-3.1946781367931	14.1155160659091	14.8067143916047	-4.29126034183404	0.724722195017591	5.98412687195484	-4.31382684844072	-8.59945434659296
"GSM2627851"	"GSM2627851"	"Pinot noir"	"Harvest"	"2012"	2	60.1971009667841	33.4024110827143	-4.49253502737366	17.2922282935242	14.5251419771821	-7.72486294053086	1.91274769210175	7.13013284058457	-6.26004856787881	-8.2904812449527
"GSM2627852"	"GSM2627852"	"Pinot noir"	"Harvest"	"2012"	3	65.5871928612559	31.326972121409	-9.29639789845338	15.1270490846877	11.4222877410993	-4.48352412379454	-0.857229028385734	8.52613102743915	-5.76950894030497	-7.07534742122077
"GSM2627853"	"GSM2627853"	"Pinot noir"	"FruitSet"	"2013"	1	-48.8970711805795	21.7183593172258	-10.7887267091971	-21.9592505097815	9.06108212068992	21.201584285103	3.0401760337565	13.3147616174682	-10.9834821828152	-2.92408264451432
"GSM2627854"	"GSM2627854"	"Pinot noir"	"FruitSet"	"2013"	2	-46.088941236896	20.1025247893181	-10.1143651786522	-26.7122307587257	13.1399473430835	31.3796459827028	-3.71055098411641	7.98666070488073	-8.4409587797588	1.56962736299299
"GSM2627855"	"GSM2627855"	"Pinot noir"	"FruitSet"	"2013"	3	-47.1404606803554	23.7921220662988	-5.16738889977594	-12.2986042949909	-2.99723162697087	-3.97684101461455	-1.29018191720357	-3.5294852107766	-20.1455496390953	9.12758327583947
"GSM2627862"	"GSM2627862"	"Pinot noir"	"Veraison"	"2013"	1	-10.0653863460867	25.5314560112418	31.1999919372896	3.69747505104263	-13.3436138754713	2.22251724865204	8.13662775877897	4.99261147001485	4.39427801436034	3.94179241626492
"GSM2627863"	"GSM2627863"	"Pinot noir"	"Veraison"	"2013"	2	-6.94287062688896	25.6748696288613	28.4349475270991	12.152103276398	-18.5897899172986	5.58566759558305	6.27938134837483	7.55679795121529	12.6659760561078	-7.14043266449063
"GSM2627864"	"GSM2627864"	"Pinot noir"	"Veraison"	"2013"	3	-10.1798928867726	26.6843776857133	30.8047669435895	7.39108493310805	-13.8998132810675	1.3738486190322	12.4888782542212	4.64955789159972	4.7360462764798	1.88721798781076
"GSM2627883"	"GSM2627883"	"Pinot noir"	"Harvest"	"2013"	1	67.7812944034295	26.7027038581884	-15.8775972620527	8.4555342470652	14.5022452163643	3.29647280236206	-5.4973936613169	-5.6146734437061	7.15133880326336	7.13616818643825
"GSM2627884"	"GSM2627884"	"Pinot noir"	"Harvest"	"2013"	2	66.3714344292899	29.0099490531291	-11.6235195646442	11.0046177514612	14.7409246187656	2.71213005122234	-5.77171618589409	-1.87635139007269	3.61327788907917	2.9440054013848
"GSM2627885"	"GSM2627885"	"Pinot noir"	"Harvest"	"2013"	3	71.3285734758814	29.1185269472068	-16.017795500789	10.0573889147325	16.0996110847557	-1.36030991024358	-3.1486890566022	-8.71470607735998	4.74020084348314	8.68690184033604
"GSM2627886"	"GSM2627886"	"Pinot noir"	"FruitSet"	"2014"	1	-51.4545178471351	24.442848138738	-8.04810372506195	-23.853355074543	-3.33099504135949	-15.5447365166724	-5.1546955141975	6.34002176614756	4.0463999896208	3.47792359147325
"GSM2627887"	"GSM2627887"	"Pinot noir"	"FruitSet"	"2014"	2	-54.3111461277645	22.4135828840384	-5.1260860604187	-20.3399577611088	0.242252553749871	-10.8512051708526	-2.57770590461679	-10.5231461769948	14.5610084850395	-19.2978940058581
"GSM2627888"	"GSM2627888"	"Pinot noir"	"FruitSet"	"2014"	3	-50.2969988793455	19.1398254455438	-7.07628297246064	-23.6282386043868	0.104653099066994	-16.582116545356	-4.73527979430116	8.25527356562955	4.78260392874345	5.18507885179924
"GSM2627895"	"GSM2627895"	"Pinot noir"	"Veraison"	"2014"	1	-25.4291851850887	24.8771024458463	23.6084411390759	-4.20370018834237	-1.63664920990229	3.20650736685453	7.71570363531691	-13.9876739157749	-2.71380496959078	2.95237946566887
"GSM2627896"	"GSM2627896"	"Pinot noir"	"Veraison"	"2014"	2	-19.2330761775578	23.7160214716115	22.5556655146761	-6.0722228225616	2.17707024745107	17.070251467132	3.98855431250236	-6.92877293406377	2.38522805719157	1.9199880702224
"GSM2627897"	"GSM2627897"	"Pinot noir"	"Veraison"	"2014"	3	-20.1577872146856	24.616219515273	24.1796398847818	-4.84626882884456	-2.88296910945295	8.8819204775545	4.93303402388063	-6.75884485845897	0.665240518735348	1.95837523729245
"GSM2627919"	"GSM2627919"	"Pinot noir"	"Harvest"	"2014"	1	57.1952353974714	31.3267984534965	-7.88934484775142	15.4789292889505	12.3348645967199	-2.92830310106961	-3.37275343666769	1.49264667362911	-0.280096074997982	0.5983496454202
"GSM2627920"	"GSM2627920"	"Pinot noir"	"Harvest"	"2014"	2	60.6072310580388	31.3552548498201	-11.6458284584325	15.0100622669433	13.7285569764812	-3.89705028870019	-2.74220270235024	-0.326524236094689	-1.11376191801822	2.47734198155254
"GSM2627921"	"GSM2627921"	"Pinot noir"	"Harvest"	"2014"	3	58.4829049009718	32.3414438181279	-8.81289032130246	14.3485015029384	14.7438225374321	-1.8550138484319	-4.46559545922979	1.93771927173754	1.68108993182334	1.22099064723467
