Gene	Module	Rank_kWithin	Top_decile_kWithin	V5_gene	Family_conflict	Mapped_for_T008	Pearson_54	Spearman_54
"VIT_06s0004g07550"	"M5"	90	FALSE	"Vitvi05_01chr06g10940"	FALSE	TRUE	0.963390689387119	0.990659638164759
"VIT_06s0009g00980"	"M2"	168	FALSE	"Vitvi05_01chr06g14240"	FALSE	TRUE	0.979470507278291	0.98947970268725
"VIT_06s0061g01210"	"M5"	73	FALSE	"Vitvi05_01chr06g20500"	FALSE	TRUE	0.975162126202311	0.991690489803697
"VIT_07s0005g00530"	"M2"	19	TRUE	NA	FALSE	FALSE	NA	NA
"VIT_07s0005g00540"	"M2"	12	TRUE	NA	FALSE	FALSE	NA	NA
"VIT_07s0005g01700"	"M10"	1	TRUE	"Vitvi05_01chr07g06780"	FALSE	TRUE	0.974714670142412	0.992680074786706
"VIT_07s0005g03340"	"M5"	91	FALSE	"Vitvi05_01chr07g09050"	FALSE	TRUE	0.98927412122233	0.990546979226224
"VIT_07s0005g05150"	"M2"	46	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_07s0005g06200"	"M2"	13	TRUE	"Vitvi05_01chr07g13000"	FALSE	TRUE	0.953428333237817	0.957720185146968
"VIT_07s0031g01710"	"M5"	93	FALSE	"Vitvi05_01chr07g29730"	FALSE	TRUE	0.959364187594477	0.971028759682661
"VIT_07s0104g00150"	"M2"	139	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_07s0129g00090"	"M2"	104	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_07s0129g00120"	"M2"	77	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_07s0129g00160"	"M2"	134	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_07s0151g00400"	"M2"	178	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_07s0151g01070"	"M5"	59	FALSE	"Vitvi05_01chr07g02330"	FALSE	TRUE	0.950531318924846	0.972017841485265
"VIT_08s0007g01560"	"M5"	98	FALSE	"Vitvi05_01chr08g15190"	FALSE	TRUE	0.993147301045885	0.992071659996188
"VIT_08s0007g01810"	"M5"	75	FALSE	"Vitvi05_01chr08g15530"	FALSE	TRUE	0.965743272159827	0.996035829998094
"VIT_08s0007g06060"	"M5"	101	FALSE	"Vitvi05_01chr08g21110"	FALSE	TRUE	0.950158286542365	0.96079269887115
"VIT_08s0007g08010"	"M10"	32	FALSE	"Vitvi05_01chr08g23500"	FALSE	TRUE	0.995568904324852	0.989784638841243
"VIT_08s0007g08850"	"M2"	94	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_08s0040g00920"	"M5"	104	FALSE	"Vitvi05_01chr08g09690"	FALSE	TRUE	0.949806139304028	0.993490411683177
"VIT_08s0040g01710"	"M5"	85	FALSE	"Vitvi05_01chr08g10910"	FALSE	TRUE	0.996842886822471	0.995502191728607
"VIT_08s0040g01890"	"M10"	26	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_08s0040g02610"	"M10"	15	FALSE	"Vitvi05_01chr08g12240"	FALSE	TRUE	0.993389491429233	0.991385553649705
"VIT_08s0058g00020"	"M2"	146	FALSE	"Vitvi05_01chr08g06220"	FALSE	TRUE	0.929479802078339	0.918918333375318
"VIT_09s0002g01000"	"M5"	66	FALSE	"Vitvi05_01chr09g01040"	FALSE	TRUE	0.99341761383781	0.987878787878788
"VIT_09s0002g02050"	"M2"	119	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_09s0002g06400"	"M10"	38	FALSE	"Vitvi05_01chr09g07890"	FALSE	TRUE	0.993808573917601	0.983380979607395
"VIT_09s0002g07190"	"M2"	80	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_09s0002g08210"	"M2"	212	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_09s0018g00780"	"M2"	67	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_09s0054g00030"	"M2"	11	TRUE	NA	FALSE	FALSE	NA	NA
"VIT_09s0054g00360"	"M2"	199	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_09s0054g01100"	"M2"	43	FALSE	"Vitvi05_01chr09g21190"	FALSE	TRUE	0.995435354240397	0.982319966634341
"VIT_09s0054g01680"	"M2"	142	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_10s0003g00410"	"M2"	150	FALSE	"Vitvi05_01chr10g09130"	FALSE	TRUE	0.996940922987524	0.994434915189632
"VIT_10s0042g00400"	"M5"	106	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_10s0116g00040"	"M2"	117	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_10s0116g00530"	"M5"	64	FALSE	"Vitvi05_01chr10g00450"	FALSE	TRUE	0.991505868094922	0.989327234610253
"VIT_11s0016g02940"	"M2"	112	FALSE	"Vitvi05_01chr11g03480"	FALSE	TRUE	0.963138880084791	0.991433794082061
"VIT_11s0016g03190"	"M5"	61	FALSE	"Vitvi05_01chr11g03800"	FALSE	TRUE	0.964120854217534	0.988031255955784
"VIT_11s0016g05540"	"M5"	21	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_11s0037g00890"	"M10"	36	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_11s0065g00350"	"M5"	78	FALSE	"Vitvi05_01chr11g12900"	FALSE	TRUE	0.977049204631762	0.994816085382123
"VIT_12s0028g00480"	"M2"	32	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_12s0028g00860"	"M5"	7	TRUE	"Vitvi05_01chr12g01380"	FALSE	TRUE	0.986958826656472	0.976672384219554
"VIT_12s0028g00920"	"M5"	83	FALSE	"Vitvi05_01chr12g01430"	FALSE	TRUE	0.937671169931228	0.977124908847365
"VIT_12s0028g01210"	"M2"	62	FALSE	"Vitvi05_01chr12g01840"	FALSE	TRUE	0.963617784130114	0.987572907227248
"VIT_12s0028g02530"	"M5"	24	FALSE	"Vitvi05_01chr12g03600"	FALSE	TRUE	0.985588354792982	0.967066895368782
"VIT_12s0028g02970"	"M5"	25	FALSE	"Vitvi05_01chr12g04130"	FALSE	TRUE	0.938188374166639	0.937977302163995
"VIT_12s0035g00730"	"M2"	31	FALSE	"Vitvi05_01chr12g20980"	FALSE	TRUE	0.955488599273674	0.944349151896322
"VIT_12s0035g00740"	"M2"	127	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_12s0035g00750"	"M2"	138	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_12s0035g00780"	"M2"	129	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_12s0035g01000"	"M5"	29	FALSE	"Vitvi05_01chr12g21410"	FALSE	TRUE	0.969959036753019	0.988997071162827
"VIT_12s0035g01760"	"M2"	69	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_12s0035g02080"	"M10"	18	FALSE	"Vitvi05_01chr12g23210"	FALSE	TRUE	0.997499787143943	0.997255574614065
"VIT_12s0055g00160"	"M2"	33	FALSE	"Vitvi05_01chr12g16420"	FALSE	TRUE	0.964977259942867	0.983027628214626
"VIT_12s0055g00180"	"M2"	105	FALSE	"Vitvi05_01chr12g16400"	FALSE	TRUE	0.946592254489919	0.933763666052901
"VIT_12s0055g00440"	"M2"	38	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_12s0057g00420"	"M2"	202	FALSE	"Vitvi05_01chr12g10440"	FALSE	TRUE	0.996347307201471	0.995730893844101
