Module	Source	Stage	Year	Estimate_CS_minus_PN	SE	df	t_ratio	P_value	FDR_within_source
"M4"	"Legacy_mapped"	"Harvest"	"2014"	1.90633460916051	0.795260135404029	36	2.39712079644481	0.0218385654897584	0.0561563112593788
"M4"	"Modern"	"FruitSet"	"2012"	0.84205484076109	0.881411799780345	36	0.955347819226991	0.345773432123437	0.501929175663053
"M4"	"Modern"	"Veraison"	"2012"	0.920244216351166	0.881411799780345	36	1.04405706456448	0.303419420252681	0.470823238323126
"M4"	"Modern"	"Harvest"	"2012"	-2.76501611977859	0.881411799780345	36	-3.13703097742468	0.00339468587119957	0.00985553962606328
"M4"	"Modern"	"FruitSet"	"2013"	1.18939240883909	0.881411799780345	36	1.34941738825767	0.18562871571212	0.333868328921811
"M4"	"Modern"	"Veraison"	"2013"	0.342654574005776	0.881411799780345	36	0.388756508695673	0.699746129686018	0.874682662107522
"M4"	"Modern"	"Harvest"	"2013"	0.115902632084521	0.881411799780345	36	0.131496574147753	0.896114650457547	0.983540470014381
"M4"	"Modern"	"FruitSet"	"2014"	-0.0358153250632324	0.881411799780345	36	-0.0406340431023931	0.967812167300066	0.99314304247823
"M4"	"Modern"	"Veraison"	"2014"	0.165724204426743	0.881411799780345	36	0.188021313610781	0.851915778654554	0.958405250986373
"M4"	"Modern"	"Harvest"	"2014"	1.21624828029651	0.881411799780345	36	1.37988654179535	0.176132027215057	0.323507805088881
"M5"	"Legacy_mapped"	"FruitSet"	"2012"	-0.331893693007606	1.24325102723642	36	-0.266956299039109	0.791026147889073	0.962930676694418
"M5"	"Legacy_mapped"	"Veraison"	"2012"	-4.08758528739592	1.24325102723642	36	-3.28781975469753	0.00226032773570392	0.00701481021425356
"M5"	"Legacy_mapped"	"Harvest"	"2012"	-21.294282854207	1.24325102723642	36	-17.1279028834114	6.91457459175884e-19	5.18593094381913e-18
"M5"	"Legacy_mapped"	"FruitSet"	"2013"	1.49367979370181	1.24325102723642	36	1.20143057273161	0.237428843684007	0.410934537145396
"M5"	"Legacy_mapped"	"Veraison"	"2013"	-1.06256388539975	1.24325102723642	36	-0.854665600206007	0.398388386994456	0.617622361752544
"M5"	"Legacy_mapped"	"Harvest"	"2013"	-17.568507566928	1.24325102723642	36	-14.1311023936818	2.92480440232463e-16	2.02486458622474e-15
"M5"	"Legacy_mapped"	"FruitSet"	"2014"	-0.00180679509932717	1.24325102723642	36	-0.00145328261127073	0.998848472178655	0.998848472178655
"M5"	"Legacy_mapped"	"Veraison"	"2014"	-1.3401148984564	1.24325102723642	36	-1.07791175643369	0.288243152227224	0.489469503782078
"M5"	"Legacy_mapped"	"Harvest"	"2014"	-17.4303650266428	1.24325102723642	36	-14.019988437402	3.72422018575422e-16	2.39414154798486e-15
"M5"	"Modern"	"FruitSet"	"2012"	-1.43745789855256	1.44622192279265	36	-0.993940055739738	0.326886185453112	0.490329278179668
"M5"	"Modern"	"Veraison"	"2012"	-6.08393495427212	1.44622192279265	36	-4.20677826714454	0.000164169901868959	0.000642403963835059
"M5"	"Modern"	"Harvest"	"2012"	-17.7507267427828	1.44622192279265	36	-12.2738609220542	1.99365747929106e-14	1.79429173136195e-13
"M5"	"Modern"	"FruitSet"	"2013"	1.93547160549772	1.44622192279265	36	1.3382950258148	0.189192053055693	0.333868328921811
"M5"	"Modern"	"Veraison"	"2013"	-1.22581560033359	1.44622192279265	36	-0.847598546955049	0.402261776482354	0.56568062317831
"M5"	"Modern"	"Harvest"	"2013"	-13.0066185956226	1.44622192279265	36	-8.99351502742183	9.76486675833427e-11	6.76029237115449e-10
"M5"	"Modern"	"FruitSet"	"2014"	0.773288451613714	1.44622192279265	36	0.534695567413675	0.596147662172257	0.794790844119997
"M5"	"Modern"	"Veraison"	"2014"	-2.69455189039378	1.44622192279265	36	-1.86316625956728	0.0706133444589804	0.147745735687902
"M5"	"Modern"	"Harvest"	"2014"	-17.1256520107942	1.44622192279265	36	-11.8416487406888	5.64613106000037e-14	4.61956177636394e-13
"M6"	"Legacy_mapped"	"FruitSet"	"2012"	6.91678657506094	0.376756777607249	36	18.3587581860873	7.30064347472556e-20	6.57057912725301e-19
"M6"	"Legacy_mapped"	"Veraison"	"2012"	0.78089418138637	0.376756777607249	36	2.07267454177139	0.0454209913200433	0.110483492400105
"M6"	"Legacy_mapped"	"Harvest"	"2012"	-0.213165529484893	0.376756777607249	36	-0.565790828870259	0.575045942025936	0.797724216809183
"M6"	"Legacy_mapped"	"FruitSet"	"2013"	9.04501707904688	0.376756777607249	36	24.0075762843366	9.56078252598359e-24	9.56078252598359e-23
"M6"	"Legacy_mapped"	"Veraison"	"2013"	1.88560923622642	0.376756777607249	36	5.00484489808456	1.48031238627444e-05	7.83694792733526e-05
"M6"	"Legacy_mapped"	"Harvest"	"2013"	-0.746971540574175	0.376756777607249	36	-1.9826359735799	0.0550793404431923	0.123928515997183
"M6"	"Legacy_mapped"	"FruitSet"	"2014"	-0.136583166296911	0.376756777607249	36	-0.362523448587545	0.719080607299918	0.938343238313266
"M6"	"Legacy_mapped"	"Veraison"	"2014"	2.89676909229972	0.376756777607249	36	7.68869802607629	4.18993272622377e-09	2.35683715850087e-08
"M6"	"Legacy_mapped"	"Harvest"	"2014"	-1.06444416137565	0.376756777607249	36	-2.82528205102466	0.00765766924832674	0.0222319429790131
"M6"	"Modern"	"FruitSet"	"2012"	4.60865487268244	0.396006720128296	36	11.6378198612118	9.29919733209919e-14	6.9743979990744e-13
"M6"	"Modern"	"Veraison"	"2012"	1.14772691813758	0.396006720128296	36	2.89825111494508	0.00635233767942547	0.017324557307524
"M6"	"Modern"	"Harvest"	"2012"	-0.515270314068849	0.396006720128296	36	-1.30116558098285	0.201468264317249	0.337157521066227
"M6"	"Modern"	"FruitSet"	"2013"	7.37286143256905	0.396006720128296	36	18.6180210027255	4.61804861088625e-20	4.61804861088625e-19
"M6"	"Modern"	"Veraison"	"2013"	2.58076898313376	0.396006720128296	36	6.5169827984173	1.4240684190744e-07	8.01038485729348e-07
"M6"	"Modern"	"Harvest"	"2013"	-0.680127357889186	0.396006720128296	36	-1.71746418259984	0.0944867776679075	0.184865434567645
"M6"	"Modern"	"FruitSet"	"2014"	-0.141160225838979	0.396006720128296	36	-0.356459167645556	0.723577500345175	0.889493916350907
"M6"	"Modern"	"Veraison"	"2014"	3.11946037334871	0.396006720128296	36	7.8772915074221	2.40418351703194e-09	1.54554654666339e-08
"M6"	"Modern"	"Harvest"	"2014"	-1.32446902831784	0.396006720128296	36	-3.34456200109115	0.00193562827612265	0.00645209425374217
"M7"	"Legacy_mapped"	"FruitSet"	"2012"	-0.396697142520422	1.49124170387929	36	-0.266018004652406	0.791743000837633	0.962930676694418
