"Module"	"Gene1"	"Gene2"	"Pearson_r"	"Beta10_unsigned_adjacency"
"M10"	"VIT_08s0040g01890"	"VIT_12s0035g02080"	0.843614976790441	0.182575631781442
"M10"	"VIT_08s0007g08010"	"VIT_12s0035g02080"	0.73901977038596	0.0485915294210362
"M10"	"VIT_13s0019g02180"	"VIT_12s0035g02080"	0.611873539991192	0.00735557670388659
"M10"	"VIT_05s0049g00770"	"VIT_12s0035g02080"	0.787182723776884	0.0913598843391199
"M10"	"VIT_17s0000g05580"	"VIT_12s0035g02080"	0.891000106288814	0.315338907341047
"M10"	"VIT_16s0098g00790"	"VIT_12s0035g02080"	0.899586692047948	0.347080505387534
"M10"	"VIT_17s0000g01930"	"VIT_12s0035g02080"	0.915617376027408	0.414133400618571
"M10"	"VIT_12s0142g00160"	"VIT_12s0035g02080"	0.789213846389942	0.0937447513360373
"M10"	"VIT_09s0002g06400"	"VIT_12s0035g02080"	0.514857828782743	0.00130879976658076
"M10"	"VIT_13s0067g00700"	"VIT_12s0035g02080"	0.814713001908237	0.128838740975483
"M10"	"VIT_19s0015g01300"	"VIT_12s0035g02080"	0.787992090226956	0.0923035875765628
"M10"	"VIT_12s0059g00490"	"VIT_12s0035g02080"	0.764601680159569	0.0682892715644795
"M10"	"VIT_02s0025g01610"	"VIT_12s0035g02080"	0.897671325499474	0.339761000193361
"M10"	"VIT_00s0274g00090"	"VIT_12s0035g02080"	0.819650220334592	0.136862856368531
"M10"	"VIT_02s0033g01120"	"VIT_16s0100g00400"	0.903592465545189	0.362849066168059
"M10"	"VIT_18s0001g12830"	"VIT_16s0100g00400"	0.859851013879327	0.220918495490005
"M10"	"VIT_17s0000g00430"	"VIT_16s0100g00400"	0.944013606736381	0.56205982181163
"M10"	"VIT_08s0040g01890"	"VIT_16s0100g00400"	0.766104739857529	0.0696436450011579
"M10"	"VIT_08s0007g08010"	"VIT_16s0100g00400"	0.843261420653093	0.181811905029162
"M10"	"VIT_13s0019g02180"	"VIT_16s0100g00400"	0.694132871931684	0.0259672594381815
"M10"	"VIT_05s0049g00770"	"VIT_16s0100g00400"	0.861598550657979	0.225449666600945
"M10"	"VIT_17s0000g05580"	"VIT_16s0100g00400"	0.922670240259499	0.447162248556123
"M10"	"VIT_16s0098g00790"	"VIT_16s0100g00400"	0.870732579698075	0.250523196924718
"M10"	"VIT_17s0000g01930"	"VIT_16s0100g00400"	0.915211125268251	0.412299594307235
"M10"	"VIT_12s0142g00160"	"VIT_16s0100g00400"	0.740990899871626	0.0499032401052063
"M10"	"VIT_09s0002g06400"	"VIT_16s0100g00400"	0.566325924287046	0.00339362948604441
