"Module"	"Gene"	"Rank_kWithin"	"kWithin"	"kWithin_per_possible_edge"	"kME_signed"	"abs_kME"	"Rank_abs_kME"	"Fraction_kWithin_from_negative_correlations"	"Top_decile_kWithin"	"Beta7_module"	"In_best_matching_beta7_module"	"V3_gene"	"V5_gene"	"V3_MapMan_annotated"	"V5_MapMan_annotated"	"V3_TF_label"	"V5_TF_label"	"V3_leaf_terms"	"V5_leaf_terms"	"Veraison_CS_exact_zero_fraction"	"Veraison_PN_exact_zero_fraction"	"Veraison_CS_minus_PN_2012"	"Veraison_CS_minus_PN_2013"	"Veraison_CS_minus_PN_2014"	"Veraison_same_direction_all_years"	"Harvest_CS_exact_zero_fraction"	"Harvest_PN_exact_zero_fraction"	"Harvest_CS_minus_PN_2012"	"Harvest_CS_minus_PN_2013"	"Harvest_CS_minus_PN_2014"	"Harvest_same_direction_all_years"
"M2"	"VIT_02s0025g00940"	162	5.89703863288073	0.0276856273844166	0.766219817579201	0.766219817579201	143	0.262846215587261	FALSE	"M2"	TRUE	"Vitvi02g01332"	NA	TRUE	FALSE	FALSE	FALSE	"not assigned.not annotated"	NA	1	0.444444444444444	-1.75472581099294	-1.17616960302197	-1.77144238119499	TRUE	1	0.222222222222222	-2.55582310405461	-0.768057410511207	-1.98080868654133	TRUE
"M2"	"VIT_01s0011g05060"	163	5.89322351503408	0.0276677160330238	-0.567641688215537	0.567641688215537	196	0.0935813418845925	FALSE	"M1"	FALSE	"Vitvi01g00433"	"Vitvi05_01chr01g06570"	TRUE	FALSE	FALSE	FALSE	"not assigned.annotated"	NA	0	0	2.39171396620782	3.23455135444325	3.06512638717029	TRUE	0	0	0.567187567008884	0.170938155122177	0.551345208076795	TRUE
"M2"	"VIT_18s0001g11580"	164	5.77977442570931	0.0271350912005132	0.736186049712767	0.736186049712767	153	0.301949106375951	FALSE	"M2"	TRUE	"Vitvi18g00879"	"Vitvi05_01chr18g13240"	TRUE	TRUE	FALSE	FALSE	"Enzyme classification.EC_1 oxidoreductases.EC_1.14 oxidoreductase acting on paired donor with incorporation or reduction of molecular oxygen"	"mapman:Enzyme classification.EC_1 oxidoreductases.EC_1-14 oxidoreductase acting on paired donor with incorporation or reduction of molecular oxygen"	0	0	-1.40329621116351	-1.0002211650264	-2.195921875315	TRUE	0	0	-0.689915881790041	-0.584556189128273	-0.0425223713129048	TRUE
"M2"	"VIT_19s0014g00450"	165	5.7486090242519	0.026988774761746	0.750821518419224	0.750821518419224	149	0.39622753503271	FALSE	"M2"	TRUE	"Vitvi19g00041"	"Vitvi05_01chr19g00700"	TRUE	FALSE	FALSE	FALSE	"not assigned.annotated"	NA	0	0	-1.80951456464436	-2.42938965302627	-2.03349849863697	TRUE	0	0	-2.01286418718913	-2.49201502161571	-1.95086607297028	TRUE
"M2"	"VIT_00s0414g00060"	166	5.69708946346509	0.0267468988895075	-0.624446775907665	0.624446775907665	184	0.124990590826883	FALSE	"M2"	TRUE	NA	NA	FALSE	FALSE	FALSE	FALSE	NA	NA	0	0	3.61124124800922	3.93845423266945	4.01882360984097	TRUE	0	0.222222222222222	0.105098624652349	0.111554103308414	0.988430641705956	TRUE
"M2"	"VIT_01s0011g06460"	167	5.59665624679367	0.0262753814403459	-0.648640668752082	0.648640668752082	179	0.491193442014852	FALSE	"M1"	FALSE	NA	NA	FALSE	FALSE	FALSE	FALSE	NA	NA	0	0	1.73167350898539	2.58064373943166	1.77510245998767	TRUE	0	0	5.5415638555086	4.79474992369891	4.86968484968386	TRUE
"M2"	"VIT_06s0009g00980"	168	5.41879187225032	0.0254403374284053	0.693339186767279	0.693339186767279	168	0.226047093493188	FALSE	"M2"	TRUE	"Vitvi06g00984"	"Vitvi05_01chr06g14240"	TRUE	FALSE	FALSE	FALSE	"not assigned.annotated"	NA	0	0	-2.5153889989551	-1.92800828235586	-1.81085989474145	TRUE	0	0	-2.09113078269341	-1.46042411143525	-2.24680872950335	TRUE
"M2"	"VIT_13s0067g02410"	169	5.21774679150594	0.024496463809887	0.77141263776172	0.77141263776172	138	0.401923093226277	FALSE	"M2"	TRUE	"Vitvi13g02281"	NA	TRUE	FALSE	FALSE	FALSE	"not assigned.not annotated"	NA	0.111111111111111	0	-1.49579639367893	-2.77880905631927	-4.0695670979877	TRUE	0	0	-1.84359652865352	-2.96523504776222	-1.11816177604964	TRUE
"M2"	"VIT_18s0001g09900"	170	5.06053927010305	0.0237584003291223	0.726301101981593	0.726301101981593	156	0.221413487697563	FALSE	"M2"	TRUE	"Vitvi18g02673"	"Vitvi05_01chr18g11110"	TRUE	FALSE	FALSE	FALSE	"not assigned.not annotated"	NA	0	0	-2.49118826618003	-3.19115308185279	-2.26900580704776	TRUE	0	0	-0.61316622558561	-0.411671430025462	-0.249695269060202	TRUE
"M2"	"VIT_00s0184g00130"	171	4.56018155147692	0.0214093030585771	-0.577511225050237	0.577511225050237	194	0.0912935557103319	FALSE	"M2"	TRUE	NA	NA	FALSE	FALSE	FALSE	FALSE	NA	NA	0.111111111111111	1	2.49987528712821	2.72334468286209	4.23396419553274	TRUE	1	1	0	0	0	FALSE
