Source	Theme	Module	Matched_MapMan_terms	Background_N	Module_n	Theme_background_K	Overlap_k	Expected_overlap	Fold_enrichment	Tested	Reason_if_not_tested	p_value	Hit_genes	FDR_global_themes	Coverage_warning
v3_mapman	epidermis	M4	0	2608	107	0	0	0	NA	FALSE	theme_absent_from_taxonomy	NA		NA	FALSE
v3_mapman	epidermis	M5	0	2608	93	0	0	0	NA	FALSE	theme_absent_from_taxonomy	NA		NA	FALSE
v3_mapman	epidermis	M6	0	2608	62	0	0	0	NA	FALSE	theme_absent_from_taxonomy	NA		NA	FALSE
v3_mapman	epidermis	M7	0	2608	51	0	0	0	NA	FALSE	theme_absent_from_taxonomy	NA		NA	FALSE
v3_mapman	epidermis	M8	0	2608	37	0	0	0	NA	FALSE	theme_absent_from_taxonomy	NA		NA	FALSE
v3_mapman	epidermis	M9	0	2608	41	0	0	0	NA	FALSE	theme_absent_from_taxonomy	NA		NA	FALSE
v3_mapman	epidermis	M10	0	2608	36	0	0	0	NA	FALSE	theme_absent_from_taxonomy	NA		NA	FALSE
v3_mapman	cell_wall	M1	87	2608	1916	100	79	73.4662576687117	1.0753235908142	TRUE		0.121077398769994	VIT_00s0238g00020;VIT_01s0010g03510;VIT_01s0011g03050;VIT_01s0011g03450;VIT_01s0127g00850;VIT_01s0127g00870;VIT_02s0025g01330;VIT_03s0038g03430;VIT_04s0008g05220;VIT_04s0023g02130;VIT_04s0023g02690;VIT_04s0023g02900;VIT_04s0069g00780;VIT_04s0079g00420;VIT_05s0020g01110;VIT_05s0020g01530;VIT_05s0062g01320;VIT_05s0077g01250;VIT_06s0004g00880;VIT_06s0004g00910;VIT_06s0004g03020;VIT_06s0004g04610;VIT_06s0004g04860;VIT_06s0061g00550;VIT_06s0061g01230;VIT_07s0005g00730;VIT_07s0005g02470;VIT_07s0005g02590;VIT_07s0031g00350;VIT_07s0031g02480;VIT_07s0129g00560;VIT_07s0151g00760;VIT_08s0007g00440;VIT_08s0007g02000;VIT_08s0007g03990;VIT_08s0007g04950;VIT_08s0007g08330;VIT_08s0032g00910;VIT_08s0058g00490;VIT_09s0002g00330;VIT_09s0002g02120;VIT_09s0018g01190;VIT_09s0018g01340;VIT_09s0018g02110;VIT_10s0116g00590;VIT_11s0016g00290;VIT_11s0016g00330;VIT_11s0016g04190;VIT_12s0057g01020;VIT_12s0059g00570;VIT_13s0019g04910;VIT_13s0064g00890;VIT_13s0067g01930;VIT_13s0067g02930;VIT_13s0074g00390;VIT_14s0060g00230;VIT_14s0083g00940;VIT_14s0108g01020;VIT_15s0046g00220;VIT_15s0046g00490;VIT_15s0046g00590;VIT_15s0046g00660;VIT_15s0046g00710;VIT_15s0046g01230;VIT_15s0046g02000;VIT_15s0048g00500;VIT_15s0048g01750;VIT_16s0050g00570;VIT_16s0050g00830;VIT_16s0098g01900;VIT_17s0000g05070;VIT_18s0001g02610;VIT_18s0001g05180;VIT_18s0001g11860;VIT_18s0001g13230;VIT_18s0089g00160;VIT_18s0122g00330;VIT_19s0014g03240;VIT_19s0015g00530	1	FALSE
v3_mapman	cell_wall	M2	87	2608	158	100	1	6.05828220858896	0.165063291139241	TRUE		0.998296849742133	VIT_18s0076g00100	1	FALSE
v3_mapman	cell_wall	M3	87	2608	82	100	0	3.1441717791411	0	TRUE		1		1	FALSE
