Module	Cultivar	Stage	Year	Mean	SD	N	SE
M4	Cabernet Sauvignon	Harvest	2012	-8.92239166924131	2.42787239400818	3	1.40173278023868
M4	Pinot noir	FruitSet	2013	-1.30514918382642	0.519872274825923	3	0.30014839781497
M4	Cabernet Sauvignon	FruitSet	2013	0.826291749040625	0.803608912829782	3	0.463963822145457
M4	Pinot noir	Veraison	2013	11.9473586380562	0.278248124148503	3	0.160646629378646
M4	Cabernet Sauvignon	Veraison	2013	12.9391236071017	0.747879222129088	3	0.431788270217557
M4	Pinot noir	Harvest	2013	-11.5342838500261	1.27976943462518	3	0.738875227581501
M4	Cabernet Sauvignon	Harvest	2013	-11.3834562520376	1.11068702445767	3	0.641255452556063
M4	Pinot noir	FruitSet	2014	-1.46968400737482	0.763671117136291	3	0.44090572505098
M4	Cabernet Sauvignon	FruitSet	2014	-1.63676918189514	0.37472034394181	3	0.216344891445633
M4	Pinot noir	Veraison	2014	9.39577107149592	0.514515157090134	3	0.297055464448132
M4	Cabernet Sauvignon	Veraison	2014	10.7229292017064	0.697185447686041	3	0.402520205896625
M4	Pinot noir	Harvest	2014	-9.47778949417005	0.964780717249157	3	0.557016406812761
M4	Cabernet Sauvignon	Harvest	2014	-7.00899435606268	1.1167250844797	3	0.644741528135164
M5	Pinot noir	FruitSet	2012	-2.35690747502237	2.38811466116307	3	1.37877864247819
M5	Cabernet Sauvignon	FruitSet	2012	-2.56002530090567	4.13100782224858	3	2.38503847819967
M5	Pinot noir	Veraison	2012	-2.03298436369747	4.83029117177591	3	2.78876990828909
M5	Cabernet Sauvignon	Veraison	2012	-6.86069377788555	0.366687325211499	3	0.211707025919283
M5	Pinot noir	Harvest	2012	22.6007879538116	0.962615298799963	3	0.555766201888211
M5	Cabernet Sauvignon	Harvest	2012	-2.42837206485052	2.0991410026003	3	1.21193962291826
M5	Pinot noir	FruitSet	2013	-4.1923817569035	0.373862443341572	3	0.215849582303148
M5	Cabernet Sauvignon	FruitSet	2013	-2.31221377056124	1.36957719537527	3	0.790725762425884
M5	Pinot noir	Veraison	2013	-4.40759991777193	0.691707608095559	3	0.399357573734483
M5	Cabernet Sauvignon	Veraison	2013	-5.35967031489174	0.885678800039647	3	0.511346893618435
M5	Pinot noir	Harvest	2013	20.003076757163	1.22644087546423	3	0.708085969594431
M5	Cabernet Sauvignon	Harvest	2013	-0.920140915572204	0.768066485610049	3	0.443443392222492
M5	Pinot noir	FruitSet	2014	-6.12567057175123	0.341200555157378	3	0.196992232367762
M5	Cabernet Sauvignon	FruitSet	2014	-6.10640690362895	0.218264397540198	3	0.126015008674345
M5	Pinot noir	Veraison	2014	-4.54497718352178	0.0982787175911103	3	0.0567412440568387
