Module	Stage	Year	contrast	estimate	SE	df	t.ratio	p.value	CI_low_unadjusted	CI_high_unadjusted	FDR_global_90	FDR_within_stage_year_10	FDR_within_module_9
M3	Harvest	2012	Cabernet Sauvignon - Pinot noir	-0.614166972579543	0.3373303009599	36	-1.82066944722096	0.0769778703512575	-1.29830453230525	0.069970587146161	0.168975812966175	0.128296450585429	0.138560166632264
M3	FruitSet	2013	Cabernet Sauvignon - Pinot noir	0.43102571633132	0.3373303009599	36	1.27775570443806	0.209513953023122	-0.253111843394384	1.11516327605702	0.362833231315866	0.262046222617015	0.2693750824583
M3	Veraison	2013	Cabernet Sauvignon - Pinot noir	0.398047162677036	0.3373303009599	36	1.17999231478572	0.245742037981747	-0.286090397048668	1.08218472240274	0.417297800346364	0.403005517266613	0.276459792729466
M3	Harvest	2013	Cabernet Sauvignon - Pinot noir	-18.7092558991303	0.3373303009599	36	-55.4627196130666	1.82647633559096e-36	-19.393393458856	-18.0251183394046	3.28765740406372e-35	1.82647633559096e-35	1.64382870203186e-35
M3	FruitSet	2014	Cabernet Sauvignon - Pinot noir	-0.188741010591299	0.3373303009599	36	-0.559513954288189	0.579275770952156	-0.872878570317002	0.495396549134405	0.769870467264694	0.989629921095773	0.579275770952156
M3	Veraison	2014	Cabernet Sauvignon - Pinot noir	-1.87123396965136	0.3373303009599	36	-5.54718613870921	2.8009911265462e-06	-2.55537152937707	-1.18709640992566	1.4004955632731e-05	9.33663708848732e-06	1.26044600694579e-05
M3	Harvest	2014	Cabernet Sauvignon - Pinot noir	-1.64227364870296	0.3373303009599	36	-4.86844390803239	2.24436468214071e-05	-2.32641120842866	-0.958136088977255	9.18149188148473e-05	7.48121560713571e-05	5.0498205348166e-05
M4	FruitSet	2012	Cabernet Sauvignon - Pinot noir	1.61231440421497	0.90824109339975	36	1.77520530168891	0.0843196449579492	-0.229683908752985	3.45431271718293	0.18068495348132	0.210799112394873	0.189719201155386
M4	Veraison	2012	Cabernet Sauvignon - Pinot noir	1.67138007830956	0.90824109339975	36	1.84023833589516	0.0739889812728218	-0.170618234658402	3.51337839127751	0.166475207863849	0.10569854467546	0.189719201155386
M4	Harvest	2012	Cabernet Sauvignon - Pinot noir	-1.34613271205735	0.90824109339975	36	-1.48213147570594	0.147006707552126	-3.1881310250253	0.495865600910612	0.287621819123724	0.210009582217323	0.228935726044941
M4	FruitSet	2013	Cabernet Sauvignon - Pinot noir	2.13144093286704	0.90824109339975	36	2.34677878853574	0.0245571989987233	0.289442619899085	3.973439245835	0.0631470831395743	0.0613929974968083	0.110507395494255
M4	Veraison	2013	Cabernet Sauvignon - Pinot noir	0.991764969045499	0.90824109339975	36	1.09196222925028	0.282103862086629	-0.850233343922459	2.83376328201346	0.459554461575815	0.403005517266613	0.362704965539951
M4	Harvest	2013	Cabernet Sauvignon - Pinot noir	0.150827597988466	0.90824109339975	36	0.166065595450966	0.869034492818538	-1.69117071497949	1.99282591095642	0.965593880909487	0.869034492818538	0.869034492818538
M4	FruitSet	2014	Cabernet Sauvignon - Pinot noir	-0.16708517452032	0.90824109339975	36	-0.183965662569707	0.855072730404295	-2.00908348748828	1.67491313844764	0.961956821704832	0.989629921095773	0.869034492818538
