SampleName	Class	GSM	Cultivar	Year	Stage	TimePoint	Replicate	DayAfterVeraison	Evidence	GEO_URL	GEO_Description
GSM2627863	PN_Veraison	GSM2627863	Pinot noir	2013	Veraison	3	2	0	Explicit GEO: day after veraison = 0	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627863	PN13_A_2_3
GSM2627864	PN_Veraison	GSM2627864	Pinot noir	2013	Veraison	3	3	0	Explicit GEO: day after veraison = 0	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627864	PN13_A_3_3
GSM2627883	PN_Harvest	GSM2627883	Pinot noir	2013	Harvest	10	1	NA	Protocol-derived: final time point; sampling until harvest (24.5 Brix)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627883	PN13_A_1_10
GSM2627884	PN_Harvest	GSM2627884	Pinot noir	2013	Harvest	10	2	NA	Protocol-derived: final time point; sampling until harvest (24.5 Brix)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627884	PN13_A_2_10
GSM2627885	PN_Harvest	GSM2627885	Pinot noir	2013	Harvest	10	3	NA	Protocol-derived: final time point; sampling until harvest (24.5 Brix)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627885	PN13_A_3_10
GSM2627886	PN_FruitSet	GSM2627886	Pinot noir	2014	FruitSet	0	1	NA	Protocol-derived: sampling begins at fruit set	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627886	PN14_0_1_0
GSM2627887	PN_FruitSet	GSM2627887	Pinot noir	2014	FruitSet	0	2	NA	Protocol-derived: sampling begins at fruit set	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627887	PN14_0_2_0
GSM2627888	PN_FruitSet	GSM2627888	Pinot noir	2014	FruitSet	0	3	NA	Protocol-derived: sampling begins at fruit set	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627888	PN14_0_3_0
GSM2627895	PN_Veraison	GSM2627895	Pinot noir	2014	Veraison	3	1	0	Explicit GEO: day after veraison = 0	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627895	PN14_A_1_3
GSM2627896	PN_Veraison	GSM2627896	Pinot noir	2014	Veraison	3	2	0	Explicit GEO: day after veraison = 0	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627896	PN14_A_2_3
GSM2627897	PN_Veraison	GSM2627897	Pinot noir	2014	Veraison	3	3	0	Explicit GEO: day after veraison = 0	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627897	PN14_A_3_3
GSM2627919	PN_Harvest	GSM2627919	Pinot noir	2014	Harvest	11	1	NA	Protocol-derived: final time point; sampling until harvest (24.5 Brix)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627919	PN14_A_1_11
GSM2627920	PN_Harvest	GSM2627920	Pinot noir	2014	Harvest	11	2	NA	Protocol-derived: final time point; sampling until harvest (24.5 Brix)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627920	PN14_A_2_11
GSM2627921	PN_Harvest	GSM2627921	Pinot noir	2014	Harvest	11	3	NA	Protocol-derived: final time point; sampling until harvest (24.5 Brix)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627921	PN14_A_3_11
