GSM	Cultivar	Stage	Year	Replicate	SRA_Experiment	SRA_Run	ENA_BioSample	ENA_Secondary_Sample	Library_Layout	FASTQ_URLs	FASTQ_Bytes	FASTQ_MD5	FASTQ_Total_Bytes	Read_Count	Base_Count
GSM2627825	Pinot noir	FruitSet	2012	3	SRX2823734	SRR5560629	SAMN07124182	SRS2200332	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/009/SRR5560629/SRR5560629.fastq.gz	2477743414	09dd3fa239042d81c099a1f572714669	2477743414	29741944	2855226624
GSM2627835	Pinot noir	Veraison	2012	1	SRX2823744	SRR5560639	SAMN07124275	SRS2200346	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/009/SRR5560639/SRR5560639.fastq.gz	2624973980	00f7fcc14ea29ef74c92dd6a2b07c1e8	2624973980	31918674	3064192704
GSM2627836	Pinot noir	Veraison	2012	2	SRX2823745	SRR5560640	SAMN07124274	SRS2200344	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/000/SRR5560640/SRR5560640.fastq.gz	2649856746	93ce10a61d8922a60f3d099adc588493	2649856746	31953495	3035582025
GSM2627837	Pinot noir	Veraison	2012	3	SRX2823746	SRR5560641	SAMN07124273	SRS2200345	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/001/SRR5560641/SRR5560641.fastq.gz	2327741452	da79d75540828ea9654457ee0bb09b07	2327741452	28319046	2718628416
GSM2627850	Pinot noir	Harvest	2012	1	SRX2823759	SRR5560654	SAMN07124217	SRS2200359	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/004/SRR5560654/SRR5560654.fastq.gz	2734369047	233a7bb7a842f253690653a8c9d04268	2734369047	31419916	3016311936
GSM2627851	Pinot noir	Harvest	2012	2	SRX2823760	SRR5560655	SAMN07124216	SRS2200360	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/005/SRR5560655/SRR5560655.fastq.gz	2243563598	655843d1e4e58477f2423a952ead05ca	2243563598	25804009	2477184864
GSM2627852	Pinot noir	Harvest	2012	3	SRX2823761	SRR5560656	SAMN07124215	SRS2200361	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/006/SRR5560656/SRR5560656.fastq.gz	3529098827	f977b387c47a2df4e277d2a3fe1a5563	3529098827	40547271	3892538016
GSM2627853	Pinot noir	FruitSet	2013	1	SRX2823762	SRR5560657	SAMN07124214	SRS2200362	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/007/SRR5560657/SRR5560657.fastq.gz	2456194805	3b988a5d0c95af8a91ef758f6741ad38	2456194805	27481500	2775631500
GSM2627854	Pinot noir	FruitSet	2013	2	SRX2823763	SRR5560658	SAMN07124213	SRS2200363	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/008/SRR5560658/SRR5560658.fastq.gz	2590639647	269c9826e7f57ef6e14601ebaab26d02	2590639647	29154830	2944637830
GSM2627855	Pinot noir	FruitSet	2013	3	SRX2823764	SRR5560659	SAMN07124212	SRS2200364	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/009/SRR5560659/SRR5560659.fastq.gz	2700278279	6342fd03f9f096592aa312af1ba22e3e	2700278279	30132168	3043348968
GSM2627862	Pinot noir	Veraison	2013	1	SRX2823771	SRR5560666	SAMN07124202	SRS2200371	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/006/SRR5560666/SRR5560666.fastq.gz	2294212188	216f49b94aa512e162b8877c3cbf12c2	2294212188	27006397	2727646097
GSM2627863	Pinot noir	Veraison	2013	2	SRX2823772	SRR5560667	SAMN07124201	SRS2200372	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/007/SRR5560667/SRR5560667.fastq.gz	1655472514	b2752702aafbd2fad3b3160d62551554	1655472514	19514717	1970986417
GSM2627864	Pinot noir	Veraison	2013	3	SRX2823773	SRR5560668	SAMN07124207	SRS2200374	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/008/SRR5560668/SRR5560668.fastq.gz	1667336320	f74a6f9556dd30ca51613f376792da3f	1667336320	19650690	1984719690
GSM2627883	Pinot noir	Harvest	2013	1	SRX2823792	SRR5560687	SAMN07124300	SRS2200392	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/007/SRR5560687/SRR5560687.fastq.gz	1897353388	09614fd74daca1fedc8bb0f464d198d1	1897353388	22951888	2318140688
GSM2627884	Pinot noir	Harvest	2013	2	SRX2823793	SRR5560688	SAMN07124299	SRS2200393	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/008/SRR5560688/SRR5560688.fastq.gz	1844508933	a7db2b56542d7cf58c89e63e55bdcce7	1844508933	22767696	2299537296
GSM2627885	Pinot noir	Harvest	2013	3	SRX2823794	SRR5560689	SAMN07124298	SRS2200394	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/009/SRR5560689/SRR5560689.fastq.gz	1901894006	ec3d33fd727a8933eb9cdca656a6e212	1901894006	23477703	2371248003
GSM2627886	Pinot noir	FruitSet	2014	1	SRX2823795	SRR5560690	SAMN07124297	SRS2200395	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/000/SRR5560690/SRR5560690.fastq.gz	2773242745	1074e1acd398fdf08f9b28b739772e75	2773242745	31419382	3173357582
GSM2627887	Pinot noir	FruitSet	2014	2	SRX2823796	SRR5560691	SAMN07124296	SRS2200397	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/001/SRR5560691/SRR5560691.fastq.gz	3249073331	cf7c2661f79fb903bf91cb035d757ad9	3249073331	36124049	3612404900
GSM2627888	Pinot noir	FruitSet	2014	3	SRX2823797	SRR5560692	SAMN07124295	SRS2200396	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/002/SRR5560692/SRR5560692.fastq.gz	3324075809	57f02e44a828f9eff3042a7d7e96af60	3324075809	37739945	3811734445
GSM2627895	Pinot noir	Veraison	2014	1	SRX2823804	SRR5560699	SAMN07124288	SRS2200404	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/009/SRR5560699/SRR5560699.fastq.gz	1660091866	58f449f2350af8d00eca3d466452a08c	1660091866	17465571	1764022671
GSM2627896	Pinot noir	Veraison	2014	2	SRX2823805	SRR5560700	SAMN07124287	SRS2200405	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/000/SRR5560700/SRR5560700.fastq.gz	3041907691	b5c4e5b2fd4dd7557833a160efd84766	3041907691	32041632	3236204832
GSM2627897	Pinot noir	Veraison	2014	3	SRX2823806	SRR5560701	SAMN07124286	SRS2200406	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/001/SRR5560701/SRR5560701.fastq.gz	1987981389	b8bdeac4040d7c10bca547e7d41388e3	1987981389	20912136	2112125736
GSM2627919	Pinot noir	Harvest	2014	1	SRX2823828	SRR5560723	SAMN07124349	SRS2200426	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/003/SRR5560723/SRR5560723.fastq.gz	2842411598	1aa1fd55922c515c58dd6c59bed67ae4	2842411598	31839271	3183927100
GSM2627920	Pinot noir	Harvest	2014	2	SRX2823829	SRR5560724	SAMN07124348	SRS2200429	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/004/SRR5560724/SRR5560724.fastq.gz	2891304956	dc7b1783f3ed4f93d8be86f8e3402a2a	2891304956	32382087	3238208700
GSM2627921	Pinot noir	Harvest	2014	3	SRX2823830	SRR5560725	SAMN07124347	SRS2200430	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/005/SRR5560725/SRR5560725.fastq.gz	2799652408	c958b411782a0c0980cac075c591b30d	2799652408	31301070	3130107000
