Module	SampleName	Cultivar	Stage	Year	Eigengene	Fitted	Residual	Standardized_residual	Cooks_D	Leverage	Abs_standardized_residual_over_3	Cooks_D_over_4_per_N
M4	GSM2627740	Cabernet Sauvignon	Harvest	2012	-6.84878653957109	-9.44083874944854	2.59205220987745	1.30075013610099	0.0367815416644946	0.148148148148148	FALSE	FALSE
M4	GSM2627741	Cabernet Sauvignon	Harvest	2012	-11.5931115166342	-9.44083874944854	-2.15227276718566	-1.0800589140045	0.0253592882113171	0.148148148148148	FALSE	FALSE
M4	GSM2627742	Cabernet Sauvignon	FruitSet	2013	0.388617513392831	-1.58789697166525	1.97651448505808	0.991859452385967	0.0213866342018998	0.148148148148148	FALSE	FALSE
M4	GSM2627743	Cabernet Sauvignon	FruitSet	2013	0.336525852217355	-1.58789697166525	1.9244228238826	0.965718684423993	0.0202741864662089	0.148148148148148	FALSE	FALSE
M4	GSM2627744	Cabernet Sauvignon	FruitSet	2013	1.75373188151169	-1.58789697166525	3.34162885317694	1.6769045658129	0.0611306287574814	0.148148148148148	FALSE	FALSE
M4	GSM2627754	Cabernet Sauvignon	Veraison	2013	12.08939155165	12.6628831942429	-0.573491642592884	-0.287791013357229	0.00180051450802567	0.148148148148148	FALSE	FALSE
M4	GSM2627755	Cabernet Sauvignon	Veraison	2013	13.2306108271189	12.6628831942429	0.567727632876017	0.284898503555485	0.00176450342017728	0.148148148148148	FALSE	FALSE
M4	GSM2627756	Cabernet Sauvignon	Veraison	2013	13.4973684425362	12.6628831942429	0.834485248293316	0.418763478665857	0.00381223589270282	0.148148148148148	FALSE	FALSE
M4	GSM2627781	Cabernet Sauvignon	Harvest	2013	-10.1438805177044	-8.85663330772912	-1.28724720997527	-0.645969620978478	0.00907123372232779	0.148148148148148	FALSE	FALSE
M4	GSM2627782	Cabernet Sauvignon	Harvest	2013	-11.7182622505917	-8.85663330772913	-2.86162894286257	-1.43602980785446	0.0448300349792719	0.148148148148148	FALSE	FALSE
M4	GSM2627783	Cabernet Sauvignon	Harvest	2013	-12.2882259878167	-8.85663330772913	-3.43159268008757	-1.72205043889842	0.0644664720458749	0.148148148148148	FALSE	FALSE
M4	GSM2627784	Cabernet Sauvignon	FruitSet	2014	-2.03465539333039	-1.74863388410005	-0.286021509230336	-0.143532030582348	0.00044785747398026	0.148148148148148	FALSE	FALSE
M4	GSM2627785	Cabernet Sauvignon	FruitSet	2014	-1.5850682516102	-1.74863388410005	0.163565632489853	0.0820809156203997	0.000146462537153982	0.148148148148148	FALSE	FALSE
M4	GSM2627786	Cabernet Sauvignon	FruitSet	2014	-1.29058390074484	-1.74863388410005	0.458049983355213	0.229859790601409	0.0011485983333766	0.148148148148148	FALSE	FALSE
M4	GSM2627793	Cabernet Sauvignon	Veraison	2014	9.99152710810689	12.5021462818081	-2.51061917370119	-1.25988520580146	0.0345067550390738	0.148148148148148	FALSE	FALSE
M4	GSM2627794	Cabernet Sauvignon	Veraison	2014	10.7973300913248	12.5021462818081	-1.70481619048328	-0.855515133278563	0.0159110031145356	0.148148148148148	FALSE	FALSE
M4	GSM2627795	Cabernet Sauvignon	Veraison	2014	11.3799304056875	12.5021462818081	-1.12221587612058	-0.563153183425867	0.00689438060875409	0.148148148148148	FALSE	FALSE
M4	GSM2627820	Cabernet Sauvignon	Harvest	2014	-6.20091729929615	-9.01737022016393	2.81645292086778	1.41335946327795	0.0434257602703766	0.148148148148148	FALSE	FALSE
M4	GSM2627821	Cabernet Sauvignon	Harvest	2014	-6.54278377237984	-9.01737022016393	2.47458644778409	1.24180317297737	0.0335233721829711	0.148148148148148	FALSE	FALSE
M4	GSM2627822	Cabernet Sauvignon	Harvest	2014	-8.28328199651206	-9.01737022016393	0.73408822365187	0.368381992147624	0.00295011504649244	0.148148148148148	FALSE	FALSE
M4	GSM2627823	Pinot noir	FruitSet	2012	-7.51956914162177	-3.36432580090522	-4.15524334071655	-2.08519462701152	0.0945225354895154	0.148148148148148	FALSE	TRUE
M4	GSM2627824	Pinot noir	FruitSet	2012	-3.98439545087868	-3.36432580090522	-0.620069649973456	-0.311164905753655	0.00210486083853654	0.148148148148148	FALSE	FALSE
M4	GSM2627825	Pinot noir	FruitSet	2012	-7.42744612903079	-3.36432580090522	-4.06312032812557	-2.03896522595659	0.0903778085360911	0.148148148148148	FALSE	TRUE
M4	GSM2627835	Pinot noir	Veraison	2012	12.7036979405699	10.748576693335	1.95512124723494	0.981123844166332	0.0209261738606896	0.148148148148148	FALSE	FALSE
M4	GSM2627836	Pinot noir	Veraison	2012	12.2476576565536	10.748576693335	1.49908096321865	0.752272565923837	0.012302478553079	0.148148148148148	FALSE	FALSE
M4	GSM2627837	Pinot noir	Veraison	2012	10.7794674272468	10.748576693335	0.0308907339118459	0.0155016655092734	5.22394855568253e-06	0.148148148148148	FALSE	FALSE
M4	GSM2627850	Pinot noir	Harvest	2012	-6.21134603618652	-9.86533542412803	3.65398938794151	1.83365411219908	0.0730932044170567	0.148148148148148	FALSE	FALSE
M4	GSM2627851	Pinot noir	Harvest	2012	-7.06465830816009	-9.86533542412803	2.80067711596794	1.40544280932616	0.042940641093187	0.148148148148148	FALSE	FALSE
M4	GSM2627852	Pinot noir	Harvest	2012	-9.45277252720528	-9.86533542412803	0.412562896922753	0.207033346889206	0.000931800146177094	0.148148148148148	FALSE	FALSE
M4	GSM2627853	Pinot noir	FruitSet	2013	-0.707385787224207	-2.78012035918581	2.0727345719616	1.04014485754041	0.0235195940145166	0.148148148148148	FALSE	FALSE
M4	GSM2627854	Pinot noir	FruitSet	2013	-1.55631952714128	-2.78012035918581	1.22380083204453	0.614130800597452	0.00819905739657537	0.148148148148148	FALSE	FALSE
M4	GSM2627855	Pinot noir	FruitSet	2013	-1.65174223711376	-2.78012035918581	1.12837812207205	0.56624553713291	0.00697030452875952	0.148148148148148	FALSE	FALSE
M4	GSM2627862	Pinot noir	Veraison	2013	11.825327090996	11.3327821350544	0.492544955941633	0.247170144195216	0.00132811043872791	0.148148148148148	FALSE	FALSE
M4	GSM2627863	Pinot noir	Veraison	2013	12.2657714681618	11.3327821350544	0.932989333107433	0.468195045375898	0.00476536088075085	0.148148148148148	FALSE	FALSE
M4	GSM2627864	Pinot noir	Veraison	2013	11.7509773550108	11.3327821350544	0.418195219956433	0.209859773349563	0.000957415749354999	0.148148148148148	FALSE	FALSE
M4	GSM2627883	Pinot noir	Harvest	2013	-11.853520924718	-9.28112998240862	-2.57239094230938	-1.29088366953538	0.036225666266807	0.148148148148148	FALSE	FALSE
M4	GSM2627884	Pinot noir	Harvest	2013	-10.1251151642637	-9.28112998240862	-0.84398518185508	-0.423530759134331	0.00389952834636745	0.148148148148148	FALSE	FALSE
M4	GSM2627885	Pinot noir	Harvest	2013	-12.6242154610965	-9.28112998240862	-3.34308547868788	-1.67763553327736	0.0611839344024958	0.148148148148148	FALSE	FALSE
M4	GSM2627886	Pinot noir	FruitSet	2014	-2.28311423323829	-2.94085727162062	0.657743038382326	0.330070259941154	0.00236839948907871	0.148148148148148	FALSE	FALSE
M4	GSM2627887	Pinot noir	FruitSet	2014	-0.768109562070902	-2.94085727162062	2.17274770954971	1.09033370089545	0.0258440778110515	0.148148148148148	FALSE	FALSE
M4	GSM2627888	Pinot noir	FruitSet	2014	-1.35782822681528	-2.94085727162062	1.58302904480534	0.794399602614378	0.0137189288833452	0.148148148148148	FALSE	FALSE
M4	GSM2627895	Pinot noir	Veraison	2014	8.80207216814214	11.1720452226196	-2.36997305447742	-1.1893058177686	0.0307488766995267	0.148148148148148	FALSE	FALSE
M4	GSM2627896	Pinot noir	Veraison	2014	9.67346181776576	11.1720452226196	-1.4985834048538	-0.752022879938223	0.0122943133032735	0.148148148148148	FALSE	FALSE
M4	GSM2627897	Pinot noir	Veraison	2014	9.71177922857986	11.1720452226196	-1.4602659940397	-0.732794340813297	0.0116736423027825	0.148148148148148	FALSE	FALSE
M4	GSM2627919	Pinot noir	Harvest	2014	-8.77658740993501	-9.44186689484343	0.665279484908415	0.333852218424541	0.00242298486406494	0.148148148148148	FALSE	FALSE
M4	GSM2627920	Pinot noir	Harvest	2014	-10.5780828466217	-9.44186689484343	-1.13621595177827	-0.570178736479072	0.00706747372897545	0.148148148148148	FALSE	FALSE
M4	GSM2627921	Pinot noir	Harvest	2014	-9.07869822595344	-9.44186689484343	0.363168668889984	0.182246211587149	0.000722036557344957	0.148148148148148	FALSE	FALSE
M5	GSM2627691	Cabernet Sauvignon	FruitSet	2012	-5.17340835894435	-2.5992478297903	-2.57416052915405	-1.46399696790087	0.0465931983048464	0.148148148148148	FALSE	FALSE
M5	GSM2627692	Cabernet Sauvignon	FruitSet	2012	2.20251596029912	-2.59924782979027	4.80176379008939	2.73089714089325	0.162126069437803	0.148148148148149	FALSE	TRUE
M5	GSM2627693	Cabernet Sauvignon	FruitSet	2012	-4.70918350407178	-2.59924782979026	-2.10993567428152	-1.19997933098179	0.0313032694518156	0.148148148148149	FALSE	FALSE
M5	GSM2627709	Cabernet Sauvignon	Veraison	2012	-6.97363896078825	-5.05956225161679	-1.91407670917146	-1.08858886880593	0.0257614288106126	0.148148148148148	FALSE	FALSE
M5	GSM2627711	Cabernet Sauvignon	Veraison	2012	-6.45082037472734	-5.05956225161684	-1.3912581231105	-0.791247340922664	0.0136102685764606	0.148148148148148	FALSE	FALSE
M5	GSM2627713	Cabernet Sauvignon	Veraison	2012	-7.15762199814107	-5.05956225161685	-2.09805974652422	-1.19322515926998	0.0309518756677144	0.148148148148148	FALSE	FALSE
M5	GSM2627739	Cabernet Sauvignon	Harvest	2012	-2.91180051006465	-1.24626174484566	-1.66553876521899	-0.947238400475073	0.019505664942056	0.148148148148148	FALSE	FALSE
M5	GSM2627740	Cabernet Sauvignon	Harvest	2012	-4.24362542890255	-1.24626174484564	-2.99736368405691	-1.70468441865107	0.0631728036346027	0.148148148148148	FALSE	FALSE
M5	GSM2627741	Cabernet Sauvignon	Harvest	2012	-0.129690255584347	-1.24626174484565	1.1165714892613	0.635025382531329	0.0087664616621535	0.148148148148148	FALSE	FALSE
M5	GSM2627742	Cabernet Sauvignon	FruitSet	2013	-3.70894896898065	-3.19103697812155	-0.517911990859097	-0.294551010191425	0.00188609342619107	0.148148148148148	FALSE	FALSE
M5	GSM2627743	Cabernet Sauvignon	FruitSet	2013	-2.25617769261933	-3.19103697812155	0.934859285502223	0.531680578537579	0.00614530951291423	0.148148148148148	FALSE	FALSE
