GeneID	GSM2627691	GSM2627692	GSM2627693	GSM2627709	GSM2627711	GSM2627713	GSM2627739	GSM2627740	GSM2627741	GSM2627742	GSM2627743	GSM2627744	GSM2627754	GSM2627755	GSM2627756	GSM2627781	GSM2627782	GSM2627783	GSM2627784	GSM2627785	GSM2627786	GSM2627793	GSM2627794	GSM2627795	GSM2627820	GSM2627821	GSM2627822	GSM2627823	GSM2627824	GSM2627825	GSM2627835	GSM2627836	GSM2627837	GSM2627850	GSM2627851	GSM2627852	GSM2627853	GSM2627854	GSM2627855	GSM2627862	GSM2627863	GSM2627864	GSM2627883	GSM2627884	GSM2627885	GSM2627886	GSM2627887	GSM2627888	GSM2627895	GSM2627896	GSM2627897	GSM2627919	GSM2627920	GSM2627921
VIT_03s0091g01140	10.876	9.50577	6.75274	2.88937	2.30471	4.92706	3.15122	3.8277	3.52834	8.58048	8.85611	7.56051	6.16159	6.31071	4.45366	5.5636	6.28507	5.39374	5.48577	5.96213	4.49108	6.79871	5.77001	12.4173	5.99084	4.79037	5.88282	8.45279	8.43068	7.82968	4.45566	4.80132	5.99003	10.5549	11.4641	10.6023	5.63511	5.70449	6.92123	4.36964	4.08008	5.53952	8.55171	8.23348	9.72889	6.2745	8.57697	5.09694	6.45616	5.09683	6.16213	10.2623	9.21763	10.0976
VIT_03s0091g01150	0	0.126505	0.264159	0.33584	0.161335	0.0362659	0.463877	0.519712	0.577326	0.616234	0.665058	0.268621	0.420406	0.184264	0.320158	0.58249	0.692826	0.636421	0.491844	0.364529	0.31756	0.449331	0.428193	0.2777	0.53122	0.457419	0.693569	0.14292	0.0356109	0.30114	0.247865	0.469763	0.173309	0.877977	0.758183	1.31114	0.573367	0.842951	0.356654	0.29906	0.0641383	0.23168	1.01878	0.972621	1.58673	0.59469	0.0313029	0.353813	0.445363	0.558164	0.399472	0.722782	0.768943	1.05867
VIT_03s0091g01160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VIT_03s0091g01170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0437064	0	0	0	0	0	0	0	0.0324163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0692898	0	0	0	0	0	0	0	0	0	0
VIT_03s0091g01180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VIT_03s0091g01190	32.2548	28.6615	30.06	37.436	37.4696	34.6444	35.3253	35.4584	32.8694	43.1923	44.318	40.8394	38.603	39.6941	36.5904	36.1353	34.4408	38.9215	63.4277	60.6044	64.6488	38.4272	38.381	37.7889	34.6777	37.2294	37.5079	50.3952	53.896	49.5781	62.9626	69.3249	62.5195	46.6405	46.6383	53.9886	62.4672	61.0626	65.351	64.3193	60.9392	62.8038	46.7062	48.7762	44.6418	60.1452	63.8346	57.6486	68.3668	63.7619	66.1092	54.8616	58.3924	52.2627
VIT_03s0091g01200	0	0	0.0343948	0.0392726	0	0	0	0	0	0	0.0358805	0	0	0	0	0.0228154	0	0	0.0234545	0	0.0367608	0	0	0.0644964	0	0	0	0	0	0	0	0	0	0	0	0	0.0320109	0.120272	0	0	0	0	0.0375198	0.0378236	0.0374628	0.0260339	0.04367	0.0214988	0.0987062	0	0	0	0.0269837	0.027767
VIT_03s0091g01220	0.359023	0.218906	1.02775	0.955611	1.17061	0.302521	1.09044	0.758435	1.21425	0.844707	0.617224	0.736364	1.11489	0.929819	0.750927	1.1094	1.74584	1.5039	0.457853	0.537604	0.568479	0.421189	0.931267	0.453656	1.05024	0.904386	1.23965	0.354225	0.368812	0.621698	0.912937	0.619077	0.795184	1.55581	1.65687	2.23226	1.38463	1.84396	1.81282	0.87934	0.752688	1.07002	1.86602	1.82373	2.08964	0.431719	0.132921	0.617312	0.637766	1.33249	0.731218	1.05932	1.65202	1.53312
VIT_03s0091g01230	0	0.274433	0.424047	2.31835	1.21281	0.888305	1.97039	1.56394	2.39894	1.71722	1.20284	1.37552	1.04999	1.23501	1.04833	1.81694	2.03164	2.69797	0.813767	1.46676	1.0454	1.25656	1.9834	1.03449	1.59907	1.6762	2.7439	1.06721	0.18293	1.11869	1.50898	2.67505	2.4576	3.24458	3.07523	2.91521	1.88464	3.50691	2.02827	2.711	1.03807	1.35737	3.07645	3.20418	3.58459	1.55626	0.50991	0.850674	1.81532	2.40561	1.85814	2.834	2.78188	2.43007
VIT_03s0091g01240	26.0556	22.4818	19.3861	7.12472	5.86435	5.51459	0.94032	1.18426	0.749458	36.5154	39.7137	36.1591	6.38296	5.83772	7.58235	1.41494	1.00567	0.909296	21.1786	19.5787	21.3114	13.3362	9.16013	10.4095	2.36035	1.98553	2.38406	17.4073	23.1729	14.4441	3.99011	2.94519	4.4456	0.902678	0.922313	0.513635	26.9734	21.9787	23.8464	5.22923	5.23876	3.48643	1.10761	1.08501	0.963063	19.2326	20.9322	22.0414	9.68494	7.23986	5.04648	0.913869	0.566192	0.663577
VIT_03s0091g01260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VIT_03s0091g01270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VIT_03s0091g01280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VIT_03s0091g01290	74.4027	64.9371	65.1765	3.22523	3.74455	5.36515	0.0339799	0.0318293	0.0381807	17.8862	12.8615	14.4491	5.64421	4.89156	4.50825	0.0223078	0	0.0236755	15.353	14.5872	16.9998	5.93635	5.94016	6.43955	0.105081	0.0502504	0.198489	11.8517	20.9216	10.5343	0.75515	0.52886	0.807679	0.0310383	0.0382098	0	7.82237	9.93194	4.64197	1.36351	0.99182	1.46644	0.0731189	0.0736154	0.218542	15.4422	16.8973	17.5591	3.2846	2.07347	1.72768	0.104672	0.154639	0.159109
VIT_03s0097g00010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VIT_03s0097g00030	0.088796	0.108734	0.0533327	0.00647017	0.0604515	0.151437	0.0235975	0.0336668	0.00491782	0.17218	0.0943671	0.147035	0.0200416	0.0992677	0.0802422	0.0313581	0	0.016512	0.0319625	0.0747801	0.024916	0.034586	0	0.0148956	0.0372862	0	0	0.0297137	0.109061	0.0275544	0.055243	0.00127779	0.0928878	0.088629	0.0805861	0.000777543	0.0693562	0.026807	0.0459203	0.00676555	0.0422181	0.0556925	0.0064432	0.00697914	0.00131253	0.0178841	0.0602008	0.0146617	0	0.036563	0.14077	0.0375481	0.0369139	0.0382685
VIT_03s0097g00040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VIT_03s0097g00060	0.00281568	0.00475427	0.00255376	9.13e-05	0	0	6.32e-05	0.00108128	0.0014215	0	0.000289425	5.78e-05	0	0	9.09e-05	0	0	0	1.33631	0.667049	0.944886	0	0	0	0	0	0	1.6553	0.935287	1.14576	0.76099	0.467726	0.579448	0.725617	0.904198	0.890069	1.25908	0.90563	0.945281	1.10178	0.844641	0.618704	0.675743	0.676862	1.15494	1.20393	1.17507	1.11067	1.4094	0.761022	1.05523	0.928995	0.45484	0.705299
VIT_03s0097g00070	0.064399	0.366244	0.597148	0.06207	0.293757	0.201179	0	0.0362979	0	0.647003	0.739775	0.442685	0.382806	0.340855	0.248121	0.0498528	0.158116	0	0.15149	0.0672498	0.078592	0.108988	0.10296	0.187847	0.0799761	0	0.0901135	0.286908	0.398916	0.653379	0.411348	0.23361	0.141316	0.367413	0.087582	0.0554603	0.50511	0.555669	0.184138	0.179396	0.347159	0.102375	0.0611364	0.0607153	0	0.0562109	0.046283	0.231723	0.105985	0.0578469	0.0886942	0	0.0586701	0
VIT_03s0097g00080	0.0635544	0.0556717	0.116456	0	0	0	0	0	0	0.0644531	0.0303161	0	0	0	0	0	0	0	0	0.0282341	0.0315325	0.0228255	0.0436236	0.0198512	0	0.0225151	0	0.0596429	0.0812712	0	0.0240665	0	0	0	0	0	0.0279199	0.0528694	0	0.0272021	0	0	0	0	0	0.0472619	0.0195127	0.0387838	0.0424818	0.0231317	0	0	0.023237	0
VIT_03s0097g00090	0	0	0.0178043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0188919	0.0316229	0	0.0268583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VIT_03s0097g00110	0.311051	0.160975	0.0942731	0	0.0234112	0	0	0	0.0633596	0.0336546	0.233366	0.0592912	0.0447827	0.0939543	0.0429723	0	0	0	0.0873744	0.0143488	0.0509905	0.116845	0.0667926	0	0	0.0248382	0.0390311	0.0815259	0.0558835	0.0314405	0.155161	0.0275239	0.101931	0.139031	0.149481	0.189441	0.154383	0.0554386	0.0972904	0.14669	0.147339	0.121337	0.13997	0.142509	0.239403	0	0.0408653	0.0392803	0	0.0251198	0.232412	0.104695	0.0776652	0.134492
VIT_03s0097g00120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0259349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
