TermID	TermName	OfficialID	OfficialName	Namespace	Official_is_obsolete	Grapedia_label_says_obsolete	Status	Association_pairs
GO:0015446	GO_MF:ATPase-coupled arsenite transmembrane transporter activity	GO:0015446	ATPase-coupled arsenite transmembrane transporter activity	molecular_function	FALSE	FALSE	live_primary_id	1
GO:0015491	GO_MF:obsolete cation:cation antiporter activity	GO:0015491	obsolete cation:cation antiporter activity	molecular_function	TRUE	TRUE	obsolete_by_ontology	1
GO:0015513	GO_MF:high-affinity secondary active nitrite transmembrane transporter activity	GO:0015513	high-affinity secondary active nitrite transmembrane transporter activity	molecular_function	FALSE	FALSE	live_primary_id	1
GO:0015556	GO_MF:C4-dicarboxylate transmembrane transporter activity	GO:0015556	C4-dicarboxylate transmembrane transporter activity	molecular_function	FALSE	FALSE	live_primary_id	1
GO:0015562	GO_MF:efflux transmembrane transporter activity	GO:0015562	efflux transmembrane transporter activity	molecular_function	FALSE	FALSE	live_primary_id	3
GO:0015575	GO_MF:mannitol transmembrane transporter activity	GO:0015575	mannitol transmembrane transporter activity	molecular_function	FALSE	FALSE	live_primary_id	1
GO:0015576	GO_MF:sorbitol transmembrane transporter activity	GO:0015576	sorbitol transmembrane transporter activity	molecular_function	FALSE	FALSE	live_primary_id	1
GO:0015591	GO_MF:D-ribose transmembrane transporter activity	GO:0015591	D-ribose transmembrane transporter activity	molecular_function	FALSE	FALSE	live_primary_id	1
GO:0015605	GO_MF:organophosphate ester transmembrane transporter activity	GO:0015605	organophosphate ester transmembrane transporter activity	molecular_function	FALSE	FALSE	live_primary_id	3
GO:0015629	GO_CC:actin cytoskeleton	GO:0015629	actin cytoskeleton	cellular_component	FALSE	FALSE	live_primary_id	1
GO:0015630	GO_CC:microtubule cytoskeleton	GO:0015630	microtubule cytoskeleton	cellular_component	FALSE	FALSE	live_primary_id	5
GO:0015631	GO_MF:tubulin binding	GO:0015631	tubulin binding	molecular_function	FALSE	FALSE	live_primary_id	2
GO:0015643	GO_MF:toxic substance binding	GO:0015643	toxic substance binding	molecular_function	FALSE	FALSE	live_primary_id	1
GO:0015645	GO_MF:fatty acid ligase activity	GO:0015645	fatty acid ligase activity	molecular_function	FALSE	FALSE	live_primary_id	2
GO:0015651	GO_MF:quaternary ammonium group transmembrane transporter activity	GO:0015651	quaternary ammonium group transmembrane transporter activity	molecular_function	FALSE	FALSE	live_primary_id	1
GO:0015662	GO_MF:P-type ion transporter activity	GO:0015662	P-type ion transporter activity	molecular_function	FALSE	FALSE	live_primary_id	1
GO:0015675	GO_BP:nickel cation transport	GO:0015675	nickel cation transport	biological_process	FALSE	FALSE	live_primary_id	1
GO:0015691	GO_BP:cadmium ion transport	GO:0015691	cadmium ion transport	biological_process	FALSE	FALSE	live_primary_id	1
GO:0015695	GO_BP:organic cation transport	GO:0015695	obsolete organic cation transport	biological_process	TRUE	FALSE	obsolete_by_ontology	2
GO:0015697	GO_BP:quaternary ammonium group transport	GO:0015697	quaternary ammonium group transport	biological_process	FALSE	FALSE	live_primary_id	1
GO:0015698	GO_BP:inorganic anion transport	GO:0015698	inorganic anion transport	biological_process	FALSE	FALSE	live_primary_id	11
GO:0015700	GO_BP:arsenite transport	GO:0015700	arsenite transport	biological_process	FALSE	FALSE	live_primary_id	3
GO:0015706	GO_BP:nitrate transmembrane transport	GO:0015706	nitrate transmembrane transport	biological_process	FALSE	FALSE	live_primary_id	4
GO:0015711	GO_BP:organic anion transport	GO:0015711	obsolete organic anion transport	biological_process	TRUE	FALSE	obsolete_by_ontology	17
GO:0015713	GO_BP:phosphoglycerate transmembrane transport	GO:0015713	phosphoglycerate transmembrane transport	biological_process	FALSE	FALSE	live_primary_id	2
GO:0015717	GO_BP:triose phosphate transport	GO:0015717	triose phosphate transport	biological_process	FALSE	FALSE	live_primary_id	2
GO:0015718	GO_BP:monocarboxylic acid transport	GO:0015718	monocarboxylic acid transport	biological_process	FALSE	FALSE	live_primary_id	4
GO:0015727	GO_BP:lactate transport	GO:0015727	lactate transport	biological_process	FALSE	FALSE	live_primary_id	1
GO:0015740	GO_BP:C4-dicarboxylate transport	GO:0015740	C4-dicarboxylate transport	biological_process	FALSE	FALSE	live_primary_id	2
GO:0015743	GO_BP:malate transport	GO:0015743	malate transport	biological_process	FALSE	FALSE	live_primary_id	1
GO:0015748	GO_BP:organophosphate ester transport	GO:0015748	organophosphate ester transport	biological_process	FALSE	FALSE	live_primary_id	3
GO:0015749	GO_BP:monosaccharide transmembrane transport	GO:0015749	monosaccharide transmembrane transport	biological_process	FALSE	FALSE	live_primary_id	7
GO:0015750	GO_BP:pentose transmembrane transport	GO:0015750	pentose transmembrane transport	biological_process	FALSE	FALSE	live_primary_id	1
GO:0015752	GO_BP:D-ribose transmembrane transport	GO:0015752	D-ribose transmembrane transport	biological_process	FALSE	FALSE	live_primary_id	1
GO:0015753	GO_BP:D-xylose transmembrane transport	GO:0015753	D-xylose transmembrane transport	biological_process	FALSE	FALSE	live_primary_id	1
GO:0015755	GO_BP:fructose transmembrane transport	GO:0015755	fructose transmembrane transport	biological_process	FALSE	FALSE	live_primary_id	1
GO:0015757	GO_BP:galactose transmembrane transport	GO:0015757	galactose transmembrane transport	biological_process	FALSE	FALSE	live_primary_id	1
GO:0015766	GO_BP:disaccharide transport	GO:0015766	disaccharide transport	biological_process	FALSE	FALSE	live_primary_id	4
GO:0015770	GO_BP:sucrose transport	GO:0015770	sucrose transport	biological_process	FALSE	FALSE	live_primary_id	4
GO:0015772	GO_BP:oligosaccharide transport	GO:0015772	oligosaccharide transport	biological_process	FALSE	FALSE	live_primary_id	4
GO:0015791	GO_BP:polyol transmembrane transport	GO:0015791	polyol transmembrane transport	biological_process	FALSE	FALSE	live_primary_id	1
GO:0015793	GO_BP:glycerol transmembrane transport	GO:0015793	glycerol transmembrane transport	biological_process	FALSE	FALSE	live_primary_id	1
GO:0015795	GO_BP:sorbitol transmembrane transport	GO:0015795	sorbitol transmembrane transport	biological_process	FALSE	FALSE	live_primary_id	1
GO:0015797	GO_BP:mannitol transmembrane transport	GO:0015797	mannitol transmembrane transport	biological_process	FALSE	FALSE	live_primary_id	1
GO:0015798	GO_BP:myo-inositol transport	GO:0015798	myo-inositol transport	biological_process	FALSE	FALSE	live_primary_id	1
GO:0015800	GO_BP:acidic amino acid transport	GO:0015800	acidic amino acid transport	biological_process	FALSE	FALSE	live_primary_id	3
GO:0015801	GO_BP:aromatic amino acid transport	GO:0015801	aromatic amino acid transport	biological_process	FALSE	FALSE	live_primary_id	1
GO:0015802	GO_BP:basic amino acid transport	GO:0015802	basic amino acid transport	biological_process	FALSE	FALSE	live_primary_id	2
GO:0015804	GO_BP:neutral amino acid transport	GO:0015804	neutral amino acid transport	biological_process	FALSE	FALSE	live_primary_id	3
GO:0015805	GO_BP:S-adenosyl-L-methionine transport	GO:0015805	S-adenosyl-L-methionine transport	biological_process	FALSE	FALSE	live_primary_id	1
GO:0015807	GO_BP:L-amino acid transport	GO:0015807	L-amino acid transport	biological_process	FALSE	FALSE	live_primary_id	3
GO:0015808	GO_BP:L-alanine transport	GO:0015808	L-alanine transport	biological_process	FALSE	FALSE	live_primary_id	2
GO:0015810	GO_BP:aspartate transmembrane transport	GO:0015810	aspartate transmembrane transport	biological_process	FALSE	FALSE	live_primary_id	1
GO:0015812	GO_BP:gamma-aminobutyric acid transport	GO:0015812	gamma-aminobutyric acid transport	biological_process	FALSE	FALSE	live_primary_id	1
