SampleName	Module	Cultivar	Stage	Year	Canonical_eigengene	Hub_core_PC1
GSM2627886	M2	Pinot noir	FruitSet	2014	12.2653507007201	4.0250007909192025
GSM2627887	M2	Pinot noir	FruitSet	2014	12.8351703667133	4.422374837368291
GSM2627888	M2	Pinot noir	FruitSet	2014	10.7272743020215	4.090079218972489
GSM2627895	M2	Pinot noir	Veraison	2014	11.814436219697	4.150063301728619
GSM2627896	M2	Pinot noir	Veraison	2014	11.3515988515095	4.052258562219511
GSM2627897	M2	Pinot noir	Veraison	2014	12.0427701971169	4.145560620452261
GSM2627919	M2	Pinot noir	Harvest	2014	9.0039472244917	3.6575686702028665
GSM2627920	M2	Pinot noir	Harvest	2014	9.00534950459899	3.694153796327352
GSM2627921	M2	Pinot noir	Harvest	2014	9.17219999839153	3.5964814941229477
GSM2627691	M3	Cabernet Sauvignon	FruitSet	2012	9.18384672022022	3.7374635079847103
GSM2627692	M3	Cabernet Sauvignon	FruitSet	2012	9.09020041497473	3.396965542915441
GSM2627693	M3	Cabernet Sauvignon	FruitSet	2012	8.27738814896162	2.899470856162503
GSM2627709	M3	Cabernet Sauvignon	Veraison	2012	7.46499541101757	3.3568283103017746
GSM2627711	M3	Cabernet Sauvignon	Veraison	2012	7.2038890305124	2.9942388165871674
GSM2627713	M3	Cabernet Sauvignon	Veraison	2012	5.89984030708903	2.9207288855569056
GSM2627739	M3	Cabernet Sauvignon	Harvest	2012	7.00819729936455	3.2948548775824746
GSM2627740	M3	Cabernet Sauvignon	Harvest	2012	5.64738753861467	2.707133970883287
GSM2627741	M3	Cabernet Sauvignon	Harvest	2012	6.45114447118587	3.290749164708182
GSM2627742	M3	Cabernet Sauvignon	FruitSet	2013	6.59093932483327	2.7628189409240487
GSM2627743	M3	Cabernet Sauvignon	FruitSet	2013	6.10027620266781	2.9040085645828397
GSM2627744	M3	Cabernet Sauvignon	FruitSet	2013	6.33998612922058	2.773243015485323
GSM2627754	M3	Cabernet Sauvignon	Veraison	2013	7.36888137284831	2.5985974789644586
GSM2627755	M3	Cabernet Sauvignon	Veraison	2013	7.35019058389475	2.840902246057187
GSM2627756	M3	Cabernet Sauvignon	Veraison	2013	7.6362229326012	2.4032595802529713
GSM2627781	M3	Cabernet Sauvignon	Harvest	2013	-11.4573408562919	-4.385752924656482
GSM2627782	M3	Cabernet Sauvignon	Harvest	2013	-11.6562094877263	-4.556644447704538
GSM2627783	M3	Cabernet Sauvignon	Harvest	2013	-11.7038905365361	-4.595567768263162
GSM2627784	M3	Cabernet Sauvignon	FruitSet	2014	-12.4858198604754	-4.61724692056163
GSM2627785	M3	Cabernet Sauvignon	FruitSet	2014	-12.3772416669154	-4.640723423898607
GSM2627786	M3	Cabernet Sauvignon	FruitSet	2014	-12.135149487078	-4.645953498858757
GSM2627793	M3	Cabernet Sauvignon	Veraison	2014	-12.1370066147732	-4.492928829739364
GSM2627794	M3	Cabernet Sauvignon	Veraison	2014	-12.1316085941802	-4.600569124708133
GSM2627795	M3	Cabernet Sauvignon	Veraison	2014	-12.4839573584654	-4.646140983848362
GSM2627820	M3	Cabernet Sauvignon	Harvest	2014	-11.8632380631523	-4.502192677291704
GSM2627821	M3	Cabernet Sauvignon	Harvest	2014	-12.0194348310432	-4.535843415901041
GSM2627822	M3	Cabernet Sauvignon	Harvest	2014	-11.7146705806653	-4.541680412455882
GSM2627823	M3	Pinot noir	FruitSet	2012	10.0018648047355	3.634526272005904
GSM2627824	M3	Pinot noir	FruitSet	2012	8.8331771674486	3.7954936228529226
GSM2627825	M3	Pinot noir	FruitSet	2012	9.19119963630262	3.296417346536126
GSM2627835	M3	Pinot noir	Veraison	2012	8.24555997916824	2.863804372031789
GSM2627836	M3	Pinot noir	Veraison	2012	8.01685844509551	2.8929508013390532
GSM2627837	M3	Pinot noir	Veraison	2012	9.34606823367571	2.7684595685330504
GSM2627850	M3	Pinot noir	Harvest	2012	7.19803960049187	2.665645560736049
GSM2627851	M3	Pinot noir	Harvest	2012	6.99232408825358	2.8848299144743277
GSM2627852	M3	Pinot noir	Harvest	2012	6.75886653815828	2.8770131238493675
GSM2627853	M3	Pinot noir	FruitSet	2013	6.19443478656977	2.597368953651642
GSM2627854	M3	Pinot noir	FruitSet	2013	5.97398208553877	2.71652884828914
GSM2627855	M3	Pinot noir	FruitSet	2013	5.56970763561919	2.5552600555710536
GSM2627862	M3	Pinot noir	Veraison	2013	6.60502557367289	2.5733287081990985
GSM2627863	M3	Pinot noir	Veraison	2013	7.07681295722255	2.8859292705852595
GSM2627864	M3	Pinot noir	Veraison	2013	7.47931487041773	2.610671589672937
GSM2627883	M3	Pinot noir	Harvest	2013	6.77184030367125	2.6265275981253247
GSM2627884	M3	Pinot noir	Harvest	2013	7.14313938608442	2.6603685847191634
GSM2627885	M3	Pinot noir	Harvest	2013	7.395347127081	2.482902074446941
GSM2627886	M3	Pinot noir	FruitSet	2014	-12.3866262518693	-4.63317454054252
GSM2627887	M3	Pinot noir	FruitSet	2014	-11.9373421794333	-4.593574535011931
GSM2627888	M3	Pinot noir	FruitSet	2014	-12.1080195513923	-4.509585334771538
GSM2627895	M3	Pinot noir	Veraison	2014	-10.5137813992959	-4.562864801196295
GSM2627896	M3	Pinot noir	Veraison	2014	-10.1720598730733	-4.580676465074611
GSM2627897	M3	Pinot noir	Veraison	2014	-10.4530293860955	-4.61237687865003
GSM2627919	M3	Pinot noir	Harvest	2014	-10.4767213897129	-4.668094703105261
GSM2627920	M3	Pinot noir	Harvest	2014	-9.9598406025807	-4.641460974377413
GSM2627921	M3	Pinot noir	Harvest	2014	-10.2339605364583	-4.706237363951146
GSM2627691	M4	Cabernet Sauvignon	FruitSet	2012	-4.19527774764559	-0.22040892440438561
GSM2627692	M4	Cabernet Sauvignon	FruitSet	2012	-4.58602526282578	-0.21423295115079874
GSM2627693	M4	Cabernet Sauvignon	FruitSet	2012	-5.31316449841496	-0.45110044955774026
GSM2627709	M4	Cabernet Sauvignon	Veraison	2012	13.8962670137389	4.316645604288939
GSM2627711	M4	Cabernet Sauvignon	Veraison	2012	13.3192298301905	4.3904048542619
GSM2627713	M4	Cabernet Sauvignon	Veraison	2012	13.5294664153696	4.849434733312452
GSM2627739	M4	Cabernet Sauvignon	Harvest	2012	-8.32527695151864	-4.608351143218986
GSM2627740	M4	Cabernet Sauvignon	Harvest	2012	-6.84878653957109	-4.293766649094191
GSM2627741	M4	Cabernet Sauvignon	Harvest	2012	-11.5931115166342	-5.324381172018086
GSM2627742	M4	Cabernet Sauvignon	FruitSet	2013	0.388617513392831	1.8434868446761876
GSM2627743	M4	Cabernet Sauvignon	FruitSet	2013	0.336525852217355	2.148416444735757
GSM2627744	M4	Cabernet Sauvignon	FruitSet	2013	1.75373188151169	2.169237338544547
GSM2627754	M4	Cabernet Sauvignon	Veraison	2013	12.08939155165	4.213212561893739
GSM2627755	M4	Cabernet Sauvignon	Veraison	2013	13.2306108271189	4.400543041191275
GSM2627756	M4	Cabernet Sauvignon	Veraison	2013	13.4973684425362	4.269816616223456
