Module	Cultivar	Stage	Year	N	Canonical_Mean	Canonical_SD	Canonical_SE	HubCore_Mean	HubCore_SD	HubCore_SE
M4	Pinot noir	Harvest	2012	3	-7.576258957183963	1.6801823836211305	0.9700537514713268	-3.9932821857982326	0.5546107667220861	0.3202046754624612
M4	Pinot noir	Harvest	2013	3	-11.534283850026066	1.279769434625176	0.7388752275815006	-4.844576704180631	0.07167259668824832	0.04138019299147965
M4	Pinot noir	Harvest	2014	3	-9.477789494170048	0.964780717249157	0.5570164068127611	-4.111682522204627	0.25579458454609566	0.14768307224493682
M5	Cabernet Sauvignon	FruitSet	2012	3	-2.56002530090567	4.131007822248579	2.3850384781996667	-1.4394388920465395	0.8260884464810369	0.4769423869502664
M5	Cabernet Sauvignon	FruitSet	2013	3	-2.3122137705612382	1.369577195375269	0.7907257624258842	-1.3310674579896353	0.43069751643501214	0.24866332705305755
M5	Cabernet Sauvignon	FruitSet	2014	3	-6.10640690362895	0.21826439754019775	0.12601500867434468	-1.875814902333996	0.07195911234683752	0.04154561288409317
M5	Cabernet Sauvignon	Veraison	2012	3	-6.860693777885554	0.36668732521149916	0.2117070259192829	-1.8918611694641096	0.06544204656650399	0.0377829832014911
M5	Cabernet Sauvignon	Veraison	2013	3	-5.359670314891743	0.885678800039647	0.511346893618435	-1.6605534029218514	0.18114544941779082	0.10458437398383727
M5	Cabernet Sauvignon	Veraison	2014	3	-6.139225147798224	0.4466475505113234	0.25787208352059954	-1.896792593901754	0.050993274980855985	0.029440981037057813
M5	Cabernet Sauvignon	Harvest	2012	3	-2.4283720648505156	2.0991410026002977	1.2119396229182628	-0.6559938559932598	1.0464471074608708	0.604166519185239
M5	Cabernet Sauvignon	Harvest	2013	3	-0.9201409155722041	0.7680664856100494	0.4434433922224919	-0.041221353248558155	0.47489266745800596	0.2741794093930592
M5	Cabernet Sauvignon	Harvest	2014	3	-3.571174739839233	0.35385965105612144	0.20430096479259877	-1.517492159677283	0.18920193928984966	0.10923579058019393
M5	Pinot noir	FruitSet	2012	3	-2.356907475022366	2.3881146611630713	1.3787786424781912	-1.125139870479555	0.9061434426265155	0.523162160524833
M5	Pinot noir	FruitSet	2013	3	-4.1923817569034965	0.3738624433415719	0.21584958230314777	-1.531684265895923	0.31242696872654613	0.1803797944963702
M5	Pinot noir	FruitSet	2014	3	-6.12567057175123	0.3412005551573783	0.19699223236776212	-1.944475802769724	0.04392364997707602	0.02535933113805574
M5	Pinot noir	Veraison	2012	3	-2.032984363697467	4.830291171775909	2.788769908289094	-0.9701697853477338	1.2644285257046497	0.7300181496866212
M5	Pinot noir	Veraison	2013	3	-4.407599917771926	0.6917076080955591	0.3993575737344832	-1.6603740522095338	0.13925057292614065	0.08039635576371693
M5	Pinot noir	Veraison	2014	3	-4.544977183521783	0.09827871759111027	0.05674124405683873	-1.6316377711545405	0.26916131954654415	0.15540036029563215
M5	Pinot noir	Harvest	2012	3	22.600787953811633	0.9626152987999632	0.5557662018882108	7.923271331548161	0.26610560861397986	0.15363614476615048
M5	Pinot noir	Harvest	2013	3	20.003076757163033	1.2264408754642255	0.7080859695944309	7.371536834958145	0.631168513653562	0.3644053112619
M5	Pinot noir	Harvest	2014	3	17.314579493626997	1.0267472144792935	0.5927927806693186	5.878909168927689	0.5752140883994858	0.33210000877910834
M6	Cabernet Sauvignon	FruitSet	2012	3	20.81357550197997	0.7957411682914914	0.4594213777183599	7.038646222952813	0.35987880688491686	0.2077761260306481
M6	Cabernet Sauvignon	FruitSet	2013	3	10.762757214487765	0.38624307801278646	0.2229975450633119	3.627713086697439	0.07943971090508166	0.04586453847539495
M6	Cabernet Sauvignon	FruitSet	2014	3	-0.32489591154593395	0.458628264817762	0.26478915215050586	0.45960848845414404	0.2144595255466467	0.12381826480463591
M6	Cabernet Sauvignon	Veraison	2012	3	-2.4226304664911567	0.2956205080847609	0.17067657992071067	-1.0976441146200266	0.21608626231889239	0.12475746171799261
M6	Cabernet Sauvignon	Veraison	2013	3	-1.8364624820778654	0.9520490584400715	0.5496657801721051	-1.189755968969491	0.43715815385928875	0.2523933778091002
M6	Cabernet Sauvignon	Veraison	2014	3	-0.335814440657541	0.9075308403486836	0.5239631749731998	-0.11655412370859701	0.39348322474925446	0.22717764573058408
M6	Cabernet Sauvignon	Harvest	2012	3	-5.1175102388813265	0.39525936303593967	0.22820309964851979	-1.7702129324925053	0.0587064610129516	0.03389419106899788
M6	Cabernet Sauvignon	Harvest	2013	3	-4.6147093349456165	0.2939595086600554	0.1697176014557331	-1.746933759223569	0.054424191312627705	0.0314218215047733
M6	Cabernet Sauvignon	Harvest	2014	3	-4.9551427412777596	0.2727378475028296	0.15746526967395777	-1.6642520649066306	0.06333313273726092	0.03656540123447989
M6	Pinot noir	FruitSet	2012	3	12.580196303125533	0.5312954905138766	0.30674359446742094	5.108588842936147	0.3575151259086797	0.20641145418273918
