SampleName	M1	M10	M2	M3	M4	M5	M6	M7	M8	M9
GSM2627783	-56.5034851868569	-2.826946907897	-12.8295508585257	-11.7038905365361	-12.2882259878167	-1.61247656953552	-4.55922546248628	-8.59512071391582	0.0183409884811476	0.853388362606014
GSM2627784	40.7659820014517	-7.30022664863012	12.7068071886303	-12.4858198604754	-2.03465539333039	-6.0233439424515	-0.502649556280228	12.2907126619776	-4.1106270186222	0.691033195417807
GSM2627785	40.7517235622118	-7.1238422944557	12.7958351944988	-12.3772416669154	-1.5850682516102	-6.35400816752884	-0.668040635664037	12.0748383863237	-3.90326693089125	1.66517701212601
GSM2627786	40.4582000408267	-6.71020331942519	10.7616109667279	-12.135149487078	-1.29058390074484	-5.94186860090651	0.196002457306463	12.5498462430015	-2.76290170405407	-0.0154478440347464
GSM2627793	23.7969780616052	2.54983734476443	-13.2824033246184	-12.1370066147732	9.99152710810689	-5.79645596040762	0.512304017221781	3.98483012848191	-4.73381091046143	-1.22871589509909
GSM2627794	15.9293487879597	3.59488604709536	-13.9437827562891	-12.1316085941802	10.7973300913248	-6.64434016790001	-1.29291544773217	0.712742263173845	-4.54061271179157	10.564698385213
GSM2627795	17.5762743431731	3.80786069674212	-13.1042055952774	-12.4839573584654	11.3799304056875	-5.97687931508704	-0.226831891462234	1.18827347151819	-3.82659405588147	12.9335102600124
GSM2627820	-47.8136885025541	0.581456841905145	-12.8461748224591	-11.8632380631523	-6.20091729929615	-3.93970576578713	-4.65152855978248	-5.03947553990199	0.384865191237205	0.786435538558504
GSM2627821	-48.360786201652	0.282653163224836	-13.2012555125929	-12.0194348310432	-6.54278377237984	-3.53973368443312	-5.17940502546721	-4.91778182413194	-0.63818784855601	-2.81292493605673
GSM2627822	-49.8135384718299	-0.391053806306095	-12.9376041796953	-11.7146705806653	-8.28328199651206	-3.23408476929745	-5.03449463858359	-4.78580521110393	-1.12081542478957	3.04965337904146
GSM2627823	45.7020545655472	-6.89215319051636	11.3226623405649	10.0018648047355	-7.51956914162177	0.399004495660182	12.8528600507756	-6.91365688567738	15.0278830121083	-2.54202951564487
GSM2627824	49.5323804839967	-5.37760273210218	11.3952246605911	8.8331771674486	-3.98439545087868	-3.81734704811592	12.9198011464998	0.448606296945137	10.4769982274794	-2.91333391598536
GSM2627825	45.0479995676859	-7.63679332354693	10.8721489095361	9.19119963630262	-7.42744612903079	-3.65237987261136	11.9679277121012	-6.52464713919536	17.0910103145884	-2.46381849532448
GSM2627835	0.715988219987431	8.20741098177479	10.5412585914563	8.24555997916824	12.7036979405699	-4.47248713216939	-3.40943894772155	2.63847681162866	-1.32234116564398	-3.04503744630181
GSM2627836	5.01717931951452	7.27758296788217	11.2579471724373	8.01685844509551	12.2476576565536	-5.15700236630741	-3.87143574173556	3.650927749557	-1.54554428993669	-3.88130397937445
GSM2627837	-5.9370200134553	7.86506870755743	10.9185904597099	9.34606823367571	10.7794674272468	3.5305364073844	-3.67700710445818	1.06880954453767	-2.57828661297894	-3.31324473719673
